ch_number,tol,max_iter,C,f1-score
18.0,0.0005,100,0.01,0.7057971014492754
39.0,5e-05,200,0.02,0.6718381618381619
20.0,2e-05,100,0.02,0.6612421964000912
9.0,0.0002,200,0.02,0.6597364953886693
27.0,0.0001,100,0.01,0.6552631578947368
17.0,0.0002,200,5,0.6403663003663003
7.0,0.0002,100,0.02,0.634488038277512
3.0,0.0001,100,0.01,0.6210909090909091
32.0,2e-05,1000,0.2,0.6180943267259056
33.0,0.0005,100,0.2,0.6159200702678964
14.0,0.005,1000,0.01,0.6133122529644269
6.0,0.005,100,2,0.6122424242424243
11.0,2e-05,100,0.5,0.6110129870129871
2.0,0.002,200,0.1,0.6044675324675325
8.0,0.001,100,0.05,0.6043434343434344
43.0,0.0005,500,5,0.6013100233100233
29.0,0.005,200,0.02,0.5995538847117794
26.0,0.001,100,0.2,0.5985281385281385
22.0,0.001,100,0.05,0.5916732542819498
40.0,0.0002,100,0.02,0.5858441558441558
25.0,0.0001,100,1,0.5815687043696196
36.0,0.0005,100,0.1,0.5777252747252748
4.0,0.002,100,1,0.5742424242424243
35.0,0.0001,100,1,0.572069716775599
1.0,0.001,2000,2,0.5711304347826087
31.0,0.0001,500,10,0.5692507492507493
10.0,1e-05,100,10,0.5622966507177034
41.0,0.0001,100,0.1,0.5599296066252588
28.0,1e-05,200,0.05,0.5487213862499905
42.0,0.002,100,10,0.5386147186147185
21.0,1e-05,100,0.2,0.5356294582610371
30.0,1e-05,100,0.05,0.5333438735177867
12.0,0.0002,100,0.01,0.5287428056306775
5.0,2e-05,100,0.02,0.5216638434029738
38.0,0.0001,200,2,0.5203081232492998
24.0,0.0001,100,0.01,0.5146264871665329
19.0,0.0001,200,1,0.5102786610795764
34.0,2e-05,100,0.05,0.5088595614911404
15.0,0.005,100,0.01,0.5041407867494824
37.0,2e-05,100,1,0.5025638221427695
16.0,1e-05,200,0.02,0.5013227513227513
0.0,5e-05,100,1,0.49478388278388274
23.0,0.005,100,0.01,0.4823451910408433
13.0,2e-05,100,0.05,0.47742292490118576
44.0,0.0005,100,0.01,0.4572597501659287
