ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
5.0,2,1,1,0.7052910052910054
7.0,8,3,11,0.6881818181818182
19.0,6,3,8,0.6824370015948963
9.0,2,1,10,0.6710730672835936
22.0,6,1,12,0.6695924764890282
39.0,2,1,1,0.6514285714285715
35.0,10,1,2,0.6424179894179894
31.0,2,1,1,0.6409774436090225
33.0,10,3,12,0.6370653907496011
38.0,2,1,15,0.6354978354978356
40.0,10,1,3,0.6303030303030303
25.0,6,3,13,0.6259296066252589
21.0,10,3,7,0.6248447204968943
42.0,2,1,1,0.6218397943885201
17.0,6,1,2,0.6148136177547942
23.0,2,1,1,0.6142266009852217
11.0,2,1,1,0.611111111111111
1.0,2,1,1,0.6081692501047339
18.0,2,4,2,0.6053593073593073
6.0,6,1,6,0.6043952343952343
36.0,2,3,4,0.603962703962704
24.0,4,1,12,0.6003331451157539
26.0,2,2,12,0.5995700714236183
44.0,10,3,3,0.5960252943090472
4.0,8,4,3,0.5952380952380951
2.0,2,1,10,0.5926682013638536
0.0,8,1,8,0.5910154173312068
34.0,4,1,8,0.5886060606060606
30.0,10,1,7,0.587939393939394
16.0,10,3,8,0.581829573934837
13.0,10,1,2,0.5813186813186813
41.0,2,4,6,0.5777484994876299
14.0,8,1,14,0.5761111111111111
43.0,4,1,4,0.5736866804692892
29.0,4,3,15,0.5708070175438597
10.0,2,4,2,0.5703406341941812
15.0,10,3,13,0.5629330242602553
32.0,2,1,1,0.5566540038251551
20.0,2,3,10,0.5542251082251082
8.0,4,1,6,0.5528249244361777
37.0,10,3,3,0.5455706155019656
12.0,10,3,7,0.5438966982674076
27.0,10,3,15,0.5401573498964802
3.0,10,1,13,0.5135403811874399
28.0,4,1,2,0.4774000878348704
