ch_number,tol,max_iter,l1_ratio,C,f1-score
14.0,2e-05,200,1,2,0.7298665880734846
33.0,0.0005,400,0.8,0.1,0.7082140082140082
27.0,0.001,750,0.2,0.1,0.6967878787878788
22.0,2e-05,100,0.8,0.1,0.6896043956043956
38.0,0.0002,100,0.8,0.1,0.6882551451546954
6.0,2e-05,100,0,2,0.6848976305498045
29.0,2e-05,100,1,0.1,0.6844622331691298
40.0,0.001,200,1,0.5,0.6765144485144485
17.0,0.0005,400,0.8,0.1,0.6712643678160919
28.0,0.0001,100,0.6,10,0.6675241744207261
32.0,0.0005,200,0,0.2,0.6674310344827586
2.0,5e-05,100,0.6,0.5,0.6654166004555325
42.0,5e-05,100,0.6,0.2,0.6579244031830239
9.0,0.0002,1000,0.4,0.5,0.657142857142857
0.0,5e-05,750,0.8,0.2,0.6567068822908644
18.0,2e-05,750,0,0.2,0.6561264822134387
7.0,5e-05,100,0.8,0.2,0.6555652067231016
39.0,0.0002,100,0.6,5,0.6524425287356321
1.0,2e-05,1000,0.2,0.5,0.6494933829611249
30.0,2e-05,200,1,2,0.6454212454212455
25.0,0.0001,750,0.6,0.1,0.6402608695652174
10.0,0.0005,1000,0.6,0.1,0.6383809523809524
12.0,2e-05,100,0.8,0.5,0.6372621381616884
35.0,0.0005,1000,1,0.1,0.6354066985645932
8.0,0.001,400,0,1,0.6326948413904936
43.0,2e-05,1000,0.4,0.5,0.6230984377940901
31.0,0.0005,100,0.6,0.1,0.6190018957199882
26.0,5e-05,200,1,0.1,0.6180374987331508
36.0,0.0002,400,1,0.2,0.6049597423510467
4.0,0.0001,100,1,0.1,0.6008067295023817
41.0,2e-05,400,0.6,0.1,0.5974945054945054
20.0,0.001,100,0.4,5,0.5872581441546958
24.0,0.0002,1000,0.6,0.1,0.5861152882205514
5.0,5e-05,100,0.6,0.1,0.5855988455988456
19.0,0.0002,750,0.8,0.1,0.5844057971014492
16.0,0.0005,200,0.8,0.1,0.575946127946128
23.0,2e-05,400,0.6,0.1,0.574048174048174
21.0,0.0005,200,0.6,0.2,0.5715238095238095
15.0,0.0005,200,1,0.1,0.5655970695970696
11.0,0.0001,200,0.4,1,0.5645844525844526
37.0,0.0001,100,0.8,0.1,0.5595015948247075
44.0,5e-05,100,0,5,0.5548586485977791
34.0,0.001,100,1,0.2,0.5074486215538847
13.0,0.0001,750,0.8,0.2,0.49734759604324824
3.0,0.0002,1000,0.2,5,0.4580039525691699
