ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
7.0,0.9,0.1,1000,5,1.0,0.6,1.0,0.6977786774628879
35.0,0.6,0.2,1500,4,0.25,0.7,0.7,0.6897971014492755
33.0,0.7,0.3,100,3,0.1,1.0,1.0,0.6832298136645962
2.0,0.9,0.15,100,1,1.0,0.6,1.0,0.6811970058926582
32.0,1.0,0.1,1500,1,0.5,0.6,0.9,0.6772227772227772
43.0,0.6,0.1,250,4,0.05,0.8,1.0,0.6735761629674674
38.0,0.8,0.1,1250,4,0.05,0.6,0.8,0.672893772893773
25.0,0.8,0.2,1500,3,0.05,1.0,0.9,0.667193675889328
19.0,1.0,0.3,100,5,1.0,0.9,0.7,0.6653276471811942
17.0,0.7,0.3,500,4,0.5,0.9,0.6,0.6632996632996632
18.0,0.7,0.2,750,3,0.25,0.6,0.8,0.6578197165153686
8.0,0.6,0.1,750,1,0.05,0.6,0.9,0.6522588522588522
10.0,0.7,0.15,100,2,0.05,0.6,0.9,0.6464919096498043
20.0,0.6,0.2,1000,3,0.5,0.8,0.6,0.6445887445887447
22.0,0.7,0.25,1500,4,1.0,0.9,0.6,0.6433517786561265
11.0,1.0,0.15,750,4,0.25,0.6,0.6,0.6428571428571429
40.0,0.8,0.1,750,3,1.0,0.6,0.6,0.641219649915302
0.0,1.0,0.3,1500,3,1.0,1.0,0.6,0.6384134248665141
9.0,0.8,0.05,250,3,1.0,1.0,0.9,0.6378787878787879
27.0,0.6,0.05,100,3,0.25,1.0,0.8,0.6369512516469039
26.0,1.0,0.2,1500,3,0.5,0.9,1.0,0.6354312354312353
1.0,1.0,0.3,100,4,1.0,1.0,0.8,0.6353288740245262
6.0,0.6,0.25,250,3,0.1,0.6,0.8,0.6350034279446044
24.0,0.6,0.15,1000,3,1.0,1.0,0.8,0.6335885167464115
36.0,0.7,0.25,1000,1,1.0,0.8,1.0,0.6319010737546207
28.0,0.8,0.15,500,1,0.5,0.7,0.8,0.6302155388471177
14.0,0.9,0.05,750,4,1.0,0.9,0.8,0.6296483516483516
21.0,1.0,0.3,1000,5,0.5,0.8,0.6,0.6294760312151617
5.0,1.0,0.1,250,4,1.0,0.6,0.8,0.6182424242424243
41.0,1.0,0.3,1250,5,1.0,0.9,0.7,0.6125185185185187
31.0,1.0,0.25,100,1,0.05,0.8,0.9,0.6116405333796637
16.0,0.8,0.25,100,4,1.0,0.9,1.0,0.6103948025987007
29.0,0.9,0.2,250,2,0.5,0.6,0.7,0.6101203144681405
34.0,0.6,0.1,100,5,0.1,0.7,1.0,0.61010989010989
44.0,0.7,0.05,1250,1,1.0,0.9,0.9,0.609547742874974
42.0,1.0,0.25,750,3,0.05,0.8,0.7,0.6013186813186813
23.0,0.8,0.2,1000,4,0.25,0.7,0.8,0.6010058177117001
12.0,0.6,0.1,100,3,0.1,0.6,0.7,0.5985108225108224
13.0,1.0,0.15,750,2,0.5,0.6,0.8,0.5958839406207828
15.0,0.8,0.05,1500,4,0.5,0.6,0.8,0.5886350686350685
39.0,0.7,0.15,250,4,1.0,0.9,0.8,0.5826163234172388
3.0,0.6,0.3,100,4,1.0,0.7,0.7,0.5810207336523125
30.0,1.0,0.2,750,3,0.05,0.7,0.6,0.5797435897435899
37.0,0.6,0.2,750,4,1.0,0.6,0.7,0.573115753811406
4.0,1.0,0.05,750,2,0.25,1.0,1.0,0.573076923076923
