,ch_names
0,RTO_2-1
1,RTO_3-2
2,RTO_4-3
3,RTO_5-4
4,RTO_6-5
5,RTO_7-6
6,RTO_8-7
7,LA_2-1
8,LA_3-2
9,LA_4-3
10,LPHG_2-1
11,LPHG_3-2
12,LPHG_4-3
13,LPHG_5-4
14,LPHG_6-5
15,LPHG_7-6
16,LPHG_8-7
17,RF_2-1
18,RF_3-2
19,RF_4-3
20,RF_5-4
21,RF_6-5
22,RF_7-6
23,RF_8-7
24,LOF_2-1
25,LOF_3-2
26,LOF_4-3
27,LOF_5-4
28,LOF_6-5
29,RPHG_2-1
30,RPHG_3-2
31,RPHG_4-3
32,RPHG_5-4
33,RPHG_6-5
34,RPHG_7-6
35,RPHG_8-7
36,RMH_2-1
37,RMH_3-2
38,RMH_4-3
39,RMH_5-4
40,RMH_6-5
41,RMH_7-6
42,RMH_8-7
43,LMH_2-1
44,LMH_3-2
45,LMH_4-3
46,LMH_5-4
47,LMH_6-5
48,LMH_7-6
49,LMH_8-7
50,ROF_-1--0
51,ROF_-2--1
52,ROF_-3--2
53,ROF_-4--3
54,ROF_-5--4
55,LO_2-1
56,LO_3-2
57,LO_4-3
58,LO_5-4
59,LO_6-5
60,RA_2-1
61,RA_3-2
62,RA_4-3
63,RA_5-4
64,RA_6-5
65,RA_7-6
66,RA_8-7
67,RO_8-7
