ch_number,tol,max_iter,C,f1-score
15.0,0.005,100,0.5,0.7396556776556776
24.0,0.0001,100,0.1,0.721727395411606
8.0,0.005,100,0.01,0.7123498080019819
21.0,0.0002,100,1,0.6933868450390188
0.0,0.005,100,0.01,0.6884897710984668
26.0,0.005,100,0.01,0.6703076923076923
44.0,0.002,100,0.01,0.6697802197802198
43.0,0.005,100,0.5,0.6665038665038664
19.0,5e-05,200,1,0.6658648018648018
20.0,0.0001,200,0.1,0.6638810464897421
13.0,0.002,100,0.01,0.660989010989011
18.0,0.005,100,0.01,0.6609328063241107
1.0,0.0001,500,0.01,0.658025974025974
5.0,0.0001,200,10,0.6569546395633352
14.0,2e-05,200,2,0.6567932067932067
45.0,0.005,100,10,0.655536231884058
2.0,0.0005,100,0.01,0.6546622073578595
30.0,0.005,100,0.01,0.6509253065774805
27.0,0.005,100,0.01,0.6486293706293706
36.0,2e-05,100,0.05,0.64697818767384
47.0,0.001,200,10,0.6446109253065775
22.0,0.002,100,0.01,0.6437620350663829
41.0,0.0001,200,5,0.6433803877282138
9.0,0.005,100,0.01,0.6421946169772256
39.0,0.0002,100,0.5,0.6312084559224147
29.0,1e-05,200,0.01,0.6291282051282051
3.0,5e-05,200,0.02,0.6285185185185186
25.0,0.005,100,0.01,0.6268115942028986
40.0,2e-05,200,0.01,0.6225454545454545
12.0,1e-05,100,0.5,0.6224084321475625
42.0,1e-05,200,0.1,0.620386055168664
4.0,1e-05,200,0.1,0.61797668997669
35.0,0.005,100,0.01,0.6148006775832864
28.0,0.0001,100,2,0.6092125266038311
33.0,0.005,100,0.01,0.6019069626026148
46.0,0.0001,100,0.01,0.5945529542920848
32.0,0.005,100,0.01,0.5914066985645933
31.0,0.001,100,0.5,0.5855897435897436
17.0,5e-05,100,0.02,0.5767927724449464
23.0,0.005,100,0.01,0.5716327151109759
49.0,0.001,500,2,0.564445322793149
48.0,0.0002,200,0.05,0.5637566137566138
37.0,1e-05,100,2,0.5617547942253824
34.0,2e-05,100,0.05,0.5534906832298137
38.0,0.005,100,0.01,0.5524210526315789
7.0,5e-05,100,5,0.5414285714285716
11.0,0.0005,200,0.2,0.5350909090909091
10.0,5e-05,200,0.2,0.5323478260869565
16.0,0.0002,200,2,0.5188300395256917
6.0,0.0002,100,0.01,0.5144761904761905
