ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
21.0,0.6,0.05,750,1,0.1,1.0,1.0,0.8036851232503406
24.0,1.0,0.2,500,1,1.0,0.8,0.7,0.7901587301587301
25.0,0.6,0.15,250,3,0.05,0.9,0.7,0.7894325852946543
44.0,0.9,0.25,100,2,1.0,0.6,0.9,0.7785217745217745
15.0,0.6,0.25,100,3,0.1,1.0,0.7,0.7731244239631335
39.0,0.7,0.15,1000,2,0.1,0.9,0.8,0.7701149425287356
2.0,1.0,0.3,1000,4,0.5,0.7,0.7,0.7644688644688645
48.0,0.9,0.05,100,5,0.25,0.7,0.6,0.7636662596662596
4.0,0.9,0.05,500,2,0.25,0.7,0.8,0.762974358974359
13.0,0.6,0.25,250,4,1.0,0.7,0.8,0.760109816109816
9.0,0.7,0.2,100,3,0.1,1.0,0.6,0.7555336617405582
1.0,0.8,0.2,250,4,0.5,0.7,0.7,0.7539952002020968
26.0,0.8,0.05,500,1,0.25,1.0,0.9,0.7525641025641026
17.0,0.7,0.15,1250,4,0.1,0.8,0.6,0.7488603988603988
7.0,0.7,0.15,1500,5,0.05,0.8,0.6,0.7480106100795757
12.0,0.7,0.25,100,5,0.5,0.6,0.6,0.7479348237968927
34.0,0.7,0.3,100,1,0.05,0.7,1.0,0.7461573909961008
5.0,0.7,0.2,100,5,0.05,0.7,0.8,0.7427803605779135
30.0,0.6,0.15,250,1,0.05,1.0,0.8,0.7408457749147404
14.0,0.7,0.05,750,2,0.25,0.6,0.8,0.739353907905632
49.0,0.7,0.1,1000,3,0.5,0.7,0.9,0.7381847781847781
18.0,0.9,0.2,1500,4,0.05,0.7,0.7,0.7367724867724867
27.0,0.7,0.1,750,3,0.1,0.6,0.8,0.7361548285686218
41.0,0.9,0.3,500,3,0.1,0.9,0.9,0.7330362511052166
47.0,0.9,0.05,1500,5,0.25,0.6,0.9,0.7317948717948718
16.0,1.0,0.2,750,3,0.05,0.6,1.0,0.7292106083710281
35.0,0.6,0.15,250,3,0.05,0.7,0.6,0.7281625900980739
10.0,0.6,0.05,250,2,0.25,1.0,0.9,0.7280681637203377
29.0,0.6,0.05,1250,2,0.25,1.0,1.0,0.7278388278388278
43.0,1.0,0.15,100,4,0.1,0.9,0.7,0.7277777777777779
37.0,1.0,0.2,1250,1,1.0,0.6,0.6,0.7270425226946966
28.0,0.8,0.1,1000,3,0.5,0.9,0.8,0.7261684981684982
3.0,0.8,0.25,250,3,1.0,0.8,0.9,0.7254391534391534
19.0,0.7,0.2,100,2,0.05,0.9,0.9,0.7219952002020967
22.0,0.7,0.2,750,4,0.5,1.0,0.9,0.7196932722449964
38.0,0.6,0.15,250,4,0.1,1.0,0.8,0.7176432552954293
31.0,0.6,0.3,750,4,0.05,0.9,1.0,0.7124522793548281
45.0,0.6,0.2,1000,4,1.0,0.6,0.7,0.7110367892976589
46.0,0.6,0.1,1000,3,0.05,0.6,1.0,0.7069393569393569
8.0,0.7,0.1,750,4,0.25,0.6,1.0,0.7028623994141235
40.0,0.6,0.05,100,2,0.05,0.9,0.8,0.7028518097483614
42.0,0.8,0.25,1500,1,1.0,0.8,0.9,0.7022962962962963
36.0,0.6,0.05,250,1,0.05,0.7,0.7,0.7022417582417582
33.0,0.8,0.05,500,1,1.0,0.9,0.6,0.7014473532464537
23.0,0.7,0.1,100,2,0.25,0.7,0.7,0.6969053934571177
6.0,0.6,0.1,100,5,0.25,0.8,0.6,0.6940507768093974
32.0,0.6,0.3,1000,4,0.1,0.7,0.6,0.6893917313272152
0.0,0.8,0.25,1250,4,0.5,1.0,0.7,0.6844860426929392
20.0,0.7,0.15,1000,4,1.0,0.6,0.8,0.6786562762574756
11.0,0.8,0.1,100,1,0.05,0.7,0.8,0.675366931918656
