ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
48.0,8,2,9,0.7618337314859054
49.0,10,2,2,0.7569551117938215
24.0,10,3,8,0.7435460191981932
43.0,4,1,1,0.7410344827586207
47.0,2,3,5,0.7336296296296296
44.0,4,1,3,0.7147714604236344
7.0,10,4,7,0.7119464882943144
18.0,10,3,3,0.7097948717948718
21.0,4,1,5,0.7071428571428572
28.0,2,1,7,0.7013254056732319
15.0,4,1,2,0.7001904761904763
9.0,4,1,3,0.7000962000962001
3.0,4,4,4,0.6981863354037268
31.0,4,1,1,0.6961681982734614
0.0,2,2,5,0.6938033624990146
19.0,8,1,2,0.6893510312865152
34.0,8,2,7,0.6891245791245793
4.0,8,3,2,0.6876056921034432
17.0,2,1,5,0.6866693306693307
30.0,4,3,3,0.6853479853479854
13.0,6,3,9,0.6847867494824016
23.0,8,3,14,0.6833166833166833
26.0,6,3,3,0.6831304347826086
14.0,2,1,2,0.6824376273401761
10.0,6,3,6,0.6809153809153811
12.0,2,1,9,0.680107892107892
36.0,10,3,3,0.6798095238095236
1.0,4,3,13,0.6759531772575251
6.0,4,1,8,0.6721414237935976
38.0,2,1,5,0.6697065897065897
41.0,6,1,4,0.6666666666666667
25.0,2,1,1,0.6662235510061597
20.0,4,1,3,0.6645977011494253
5.0,6,1,12,0.6627771584293323
42.0,4,3,15,0.6617792642140469
45.0,2,1,1,0.6617515817515819
35.0,2,1,1,0.6595438544464032
40.0,2,1,1,0.6404317244724715
37.0,6,2,13,0.6398135198135197
33.0,2,1,7,0.6384822626280844
39.0,2,1,1,0.6374761750638329
27.0,10,3,2,0.6367715247715248
46.0,6,4,2,0.6336866096866098
8.0,8,3,11,0.6297639751552795
2.0,6,4,2,0.6289469151538117
29.0,2,1,1,0.6271571906354515
22.0,4,1,14,0.6232380952380953
16.0,2,1,9,0.6205484949832776
32.0,4,2,3,0.6127698388567955
11.0,8,2,2,0.6126087246087246
