ch_number,tol,max_iter,l1_ratio,C,f1-score
15.0,0.0002,100,0.4,5,0.8125356125356126
0.0,0.001,1000,1,0.1,0.7972486772486772
14.0,0.0001,100,1,0.1,0.784468339307049
30.0,0.0001,100,0.4,0.1,0.7560791826309069
24.0,2e-05,200,1,0.1,0.7526349206349205
29.0,5e-05,100,0.8,0.5,0.75
13.0,0.001,100,1,0.1,0.7473493770267965
9.0,0.0005,400,1,0.1,0.7396432552954292
4.0,0.0005,100,1,0.1,0.7373121131741821
19.0,5e-05,200,0.2,1,0.7364819726888692
17.0,0.0005,100,1,0.1,0.7334391534391533
23.0,0.0001,100,1,0.2,0.7279156327543423
28.0,0.001,100,0.6,0.1,0.7267365448789253
21.0,2e-05,1000,0.4,0.2,0.7241685823754789
12.0,0.0005,100,1,0.1,0.7186080586080587
8.0,2e-05,200,1,0.1,0.7180952380952381
3.0,0.0002,400,0,0.5,0.7174289363254881
26.0,0.0005,100,1,0.1,0.7167502986857827
27.0,0.0001,100,0.8,0.1,0.7164437146506113
18.0,0.0001,1000,1,0.1,0.7140756459377149
49.0,0.001,100,1,0.1,0.7136617405582923
43.0,2e-05,100,0.6,0.2,0.7132307692307693
2.0,2e-05,400,1,0.1,0.7125437525437526
48.0,0.001,200,0.8,0.1,0.7115906562847608
22.0,5e-05,100,0.8,0.2,0.7051282051282051
11.0,0.0005,100,0.8,0.1,0.7047619047619047
41.0,0.0001,200,0.8,0.1,0.702857142857143
33.0,0.0005,100,0.6,0.1,0.6984054566123532
38.0,2e-05,200,0.6,0.2,0.6937511403028644
16.0,5e-05,100,0.8,0.1,0.6927304475691572
5.0,0.0002,100,1,0.2,0.6924963924963925
36.0,5e-05,100,0.8,0.1,0.6908146047500887
1.0,0.0005,100,0.8,0.1,0.689390327877536
7.0,0.0005,100,0.6,0.1,0.6892301102196154
40.0,2e-05,200,1,0.1,0.6862433862433863
35.0,0.0001,1000,0.8,0.2,0.6855212393803098
47.0,0.0001,400,0.6,0.1,0.6831632216504298
25.0,5e-05,1000,1,0.1,0.6793706293706294
32.0,0.0001,750,1,0.1,0.6716450216450216
39.0,2e-05,1000,0.2,1,0.6625300625300625
10.0,5e-05,100,1,0.2,0.6611063819384176
6.0,0.0005,750,1,0.1,0.6541360089186176
31.0,2e-05,100,0.4,10,0.6457726692209451
46.0,0.0005,1000,0.4,0.1,0.6434814814814815
45.0,0.0005,400,1,0.5,0.6319088319088318
44.0,0.0005,100,0.2,5,0.6313390313390312
37.0,0.001,200,1,0.1,0.6279705014849327
34.0,0.0002,100,0.6,0.1,0.5903133903133903
42.0,0.001,750,0.8,2,0.5902433398685274
20.0,0.0002,100,0.8,0.1,0.4055745501862072
