ch_number,tol,max_iter,C,f1-score
14.0,0.005,100,0.01,0.6666666666666665
38.0,0.005,100,0.05,0.6587878787878789
63.0,0.005,100,0.01,0.6500432900432901
33.0,0.005,100,0.01,0.6333333333333333
42.0,0.005,100,0.01,0.6255555555555555
45.0,0.005,1000,1,0.6215151515151515
3.0,1e-05,100,0.5,0.6040293040293041
19.0,0.005,100,0.01,0.5917060717060718
57.0,0.005,100,0.05,0.5914285714285714
41.0,0.005,100,0.01,0.5767099567099567
51.0,0.005,100,0.01,0.5752447552447553
17.0,0.005,100,0.01,0.5655011655011655
52.0,0.005,100,0.01,0.5633033633033633
37.0,0.005,100,0.01,0.5631313131313131
6.0,0.005,100,0.01,0.5533333333333333
26.0,0.002,100,0.5,0.5533333333333333
11.0,0.005,100,0.01,0.5488888888888889
16.0,0.005,100,0.01,0.5488888888888889
13.0,0.005,100,0.01,0.5422222222222222
18.0,0.0005,100,1,0.5409090909090908
5.0,0.005,100,0.01,0.5361616161616162
7.0,0.002,100,0.02,0.5248196248196247
32.0,0.005,100,0.01,0.5165079365079366
8.0,0.005,100,0.01,0.508888888888889
44.0,0.005,100,0.01,0.508888888888889
31.0,0.005,100,0.01,0.5076623376623377
28.0,1e-05,100,0.01,0.5047619047619047
22.0,0.005,100,0.01,0.49898989898989904
53.0,0.005,100,0.01,0.498888888888889
9.0,0.005,100,0.01,0.4933766233766234
40.0,0.005,100,0.01,0.4922222222222222
59.0,1e-05,200,2,0.4862515262515263
15.0,0.0002,100,5,0.48484848484848486
23.0,2e-05,100,2,0.4793650793650793
24.0,0.005,100,0.02,0.4781818181818182
58.0,1e-05,200,0.05,0.4781818181818182
27.0,0.0001,200,2,0.4760606060606061
34.0,0.005,100,0.01,0.45606060606060606
25.0,0.005,100,0.01,0.4444444444444445
2.0,0.005,100,0.01,0.44053724053724064
10.0,0.005,100,0.01,0.4366666666666667
50.0,2e-05,200,0.05,0.4349206349206349
54.0,0.005,100,0.01,0.4346464646464646
30.0,0.005,100,10,0.4333333333333333
21.0,0.002,100,0.2,0.42481962481962476
4.0,0.0005,100,0.05,0.4142857142857143
64.0,0.005,100,0.01,0.41323232323232323
47.0,0.005,100,0.01,0.4132034632034632
1.0,0.0001,100,0.02,0.40888888888888897
36.0,0.005,100,0.01,0.4048484848484849
12.0,0.005,100,0.01,0.4015151515151515
55.0,0.002,100,0.5,0.40050505050505053
60.0,0.005,100,0.01,0.39888888888888896
48.0,0.005,100,0.01,0.39666666666666667
39.0,2e-05,100,0.5,0.39603174603174607
20.0,0.005,100,0.01,0.39575757575757575
61.0,0.0001,100,5,0.3930735930735931
46.0,0.005,100,0.01,0.3904761904761905
43.0,0.005,100,0.05,0.39
62.0,0.005,100,0.02,0.38628038628038636
56.0,0.005,100,0.01,0.3762515262515263
29.0,0.0005,100,1,0.37584304584304584
35.0,0.005,100,0.01,0.346031746031746
49.0,0.005,100,0.01,0.2633766233766234
0.0,0.001,100,0.1,0.2246642246642247
