ch_number,tol,max_iter,l1_ratio,C,f1-score
63.0,0.0002,750,1,0.5,0.73
45.0,5e-05,200,0.4,0.1,0.7128427128427128
33.0,2e-05,200,0.4,1,0.7100000000000001
37.0,2e-05,1000,0.6,0.1,0.6864069264069265
18.0,0.0001,750,0.4,0.2,0.6742857142857143
13.0,0.0001,750,1,0.1,0.6705194805194805
38.0,0.0001,1000,0.8,5,0.6703030303030303
14.0,0.0005,750,0.2,5,0.6666666666666665
31.0,0.0005,1000,0.6,0.1,0.6643434343434345
42.0,0.0005,100,0.4,5,0.660952380952381
19.0,0.0001,100,0.6,0.2,0.644111444111444
32.0,0.0002,400,1,0.1,0.6399999999999999
51.0,5e-05,1000,0,0.2,0.6386147186147186
25.0,0.0002,750,0.8,0.1,0.6199999999999999
52.0,0.001,100,0.6,0.5,0.6015151515151514
3.0,5e-05,400,0.8,0.2,0.6002020202020202
50.0,0.0001,1000,1,0.1,0.5957575757575757
53.0,0.0001,100,0.4,0.1,0.5917460317460319
22.0,0.0002,1000,1,1,0.5892640692640692
11.0,0.0001,200,0.8,0.2,0.5857575757575757
5.0,0.0002,1000,1,0.5,0.5834343434343434
47.0,2e-05,100,0.8,0.1,0.5786080586080586
7.0,0.0005,100,0.8,0.1,0.5759307359307358
8.0,0.0001,100,1,0.5,0.5754545454545454
41.0,2e-05,100,0.2,1,0.5676767676767678
10.0,0.0002,1000,1,0.1,0.5633766233766234
6.0,2e-05,200,0.2,0.1,0.5606349206349207
28.0,0.0002,1000,0.8,0.5,0.5546897546897547
44.0,2e-05,200,0.6,1,0.5543434343434344
64.0,0.0002,1000,1,0.2,0.5438095238095239
40.0,0.0002,1000,0.2,0.5,0.5432323232323232
17.0,0.0002,750,0,10,0.5282384282384281
23.0,0.0002,750,0.8,5,0.5222222222222223
58.0,0.0005,1000,0.8,0.1,0.5218648018648019
20.0,5e-05,1000,0.8,0.1,0.520952380952381
16.0,0.0005,750,0,5,0.5187878787878788
9.0,2e-05,750,0.8,1,0.517979797979798
2.0,2e-05,1000,0.4,0.2,0.5111111111111112
48.0,0.001,400,0.6,0.1,0.509090909090909
43.0,0.0001,100,1,0.1,0.506031746031746
46.0,0.0005,100,0.4,0.5,0.5032323232323233
15.0,0.0002,1000,1,5,0.5013564213564214
36.0,0.0002,750,0.6,0.2,0.49212121212121207
39.0,5e-05,1000,0.6,0.2,0.4898989898989899
34.0,0.0001,750,1,0.1,0.4884559884559884
60.0,0.0005,400,0.8,1,0.4878787878787879
24.0,0.0002,1000,0.6,0.2,0.484992784992785
1.0,0.0001,1000,0.8,0.2,0.48464646464646466
27.0,0.0001,100,0.2,0.2,0.47603174603174614
59.0,2e-05,100,0.8,0.1,0.47307692307692306
21.0,0.0005,200,0.8,2,0.47222222222222215
29.0,0.001,200,1,0.1,0.4666666666666667
35.0,5e-05,750,1,2,0.45555555555555555
30.0,2e-05,100,0.6,0.2,0.4511544011544012
12.0,5e-05,750,0.6,0.1,0.4491086691086691
26.0,0.0005,1000,0.6,0.2,0.4377777777777778
4.0,5e-05,100,0,1,0.43339438339438346
57.0,5e-05,400,0.6,0.2,0.4255555555555556
61.0,5e-05,1000,0.4,1,0.4248196248196249
54.0,5e-05,750,1,2,0.4233766233766234
56.0,5e-05,100,0.8,0.2,0.4142857142857143
49.0,0.0002,750,1,0.1,0.38623376623376626
62.0,0.001,1000,1,1,0.3560606060606061
0.0,0.0005,1000,0.6,0.1,0.31226551226551236
55.0,5e-05,200,0.2,0.2,0.3100854700854701
