ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
2.0,4,4,12,0.7641414141414141
4.0,2,2,4,0.7411111111111112
42.0,4,1,4,0.7411111111111112
7.0,6,3,12,0.712121212121212
3.0,4,3,12,0.6833333333333333
9.0,2,3,2,0.6678787878787878
30.0,2,4,7,0.6643290043290044
39.0,8,4,9,0.6571428571428571
8.0,2,2,9,0.6564435564435563
32.0,4,3,6,0.6457575757575758
24.0,4,1,5,0.6433333333333333
57.0,4,2,5,0.6433333333333333
63.0,4,3,13,0.6397435897435898
62.0,4,3,13,0.6354978354978355
45.0,2,1,9,0.6273626373626374
27.0,4,4,3,0.6197979797979798
28.0,8,1,3,0.6154545454545455
0.0,2,1,14,0.6152958152958152
41.0,6,1,5,0.6151981351981352
18.0,10,1,14,0.6130735930735931
59.0,4,2,3,0.6113886113886114
38.0,2,1,14,0.6087878787878787
50.0,10,1,5,0.5968253968253968
17.0,6,1,8,0.5912121212121212
22.0,6,4,2,0.5911111111111111
43.0,8,2,15,0.5890909090909091
1.0,4,3,13,0.5866666666666667
16.0,8,4,5,0.5853424353424354
52.0,2,3,12,0.5835964035964036
53.0,4,3,15,0.5833333333333333
61.0,4,1,7,0.5742424242424242
11.0,4,1,4,0.5655988455988457
54.0,8,4,3,0.5634343434343434
56.0,10,1,2,0.5629148629148629
47.0,6,4,4,0.5625974025974025
29.0,4,1,11,0.5615584415584415
14.0,8,3,13,0.5587301587301587
34.0,2,2,10,0.5554545454545454
21.0,6,1,3,0.5524242424242424
60.0,10,1,8,0.55008547008547
51.0,4,1,14,0.5498412698412698
48.0,8,3,5,0.540952380952381
36.0,2,3,10,0.54
10.0,8,1,5,0.5381818181818182
44.0,8,4,3,0.5366666666666666
55.0,2,1,1,0.5336796536796536
19.0,2,3,3,0.5302197802197802
20.0,6,1,11,0.5276190476190477
37.0,8,1,11,0.5215873015873015
35.0,6,1,5,0.5143434343434343
5.0,6,3,15,0.5098989898989899
15.0,2,1,4,0.509090909090909
25.0,2,3,9,0.5032323232323233
49.0,4,1,2,0.5010101010101009
6.0,6,1,7,0.49378399378399374
31.0,8,3,10,0.48
33.0,6,4,12,0.4732323232323233
26.0,2,1,12,0.46031746031746035
12.0,2,3,4,0.45666666666666667
13.0,10,3,7,0.4345299145299145
40.0,10,3,5,0.4243434343434343
23.0,8,3,4,0.4111111111111111
64.0,10,2,10,0.3977777777777778
46.0,8,3,2,0.39555555555555555
58.0,4,1,14,0.3687878787878788
