ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
7.0,1.0,0.05,500,2,0.25,0.8,0.9,0.7538816738816739
2.0,1.0,0.2,100,5,0.25,1.0,0.7,0.7434920634920636
63.0,0.8,0.25,1500,2,1.0,0.7,0.9,0.7333333333333334
42.0,0.9,0.1,750,4,0.1,0.6,0.6,0.7308513708513709
18.0,0.6,0.1,250,4,1.0,0.7,1.0,0.711038961038961
53.0,1.0,0.3,1250,1,0.25,0.7,1.0,0.6991053391053391
8.0,0.8,0.15,500,5,1.0,0.6,0.8,0.6951404151404152
61.0,0.7,0.05,250,5,1.0,1.0,1.0,0.6902020202020202
32.0,0.8,0.1,1250,4,0.25,0.8,1.0,0.6857575757575758
43.0,0.6,0.15,500,2,1.0,0.7,0.6,0.6718614718614717
44.0,0.8,0.25,250,3,1.0,0.6,0.8,0.6666666666666666
3.0,0.7,0.1,750,3,1.0,0.7,0.8,0.6638528138528138
17.0,1.0,0.15,750,1,1.0,0.7,0.8,0.6585281385281385
24.0,0.8,0.3,1500,2,1.0,0.7,0.6,0.649090909090909
56.0,0.8,0.3,500,2,1.0,0.6,0.8,0.6484848484848484
9.0,0.9,0.15,1000,4,1.0,0.7,0.7,0.6481818181818182
57.0,0.6,0.25,1500,5,0.5,0.7,1.0,0.6442424242424242
16.0,0.7,0.3,250,4,1.0,0.6,0.6,0.6409523809523809
59.0,0.8,0.25,1250,5,1.0,0.6,0.7,0.6366666666666666
6.0,0.7,0.15,1250,3,1.0,0.6,0.6,0.6365656565656566
15.0,1.0,0.05,1250,3,0.5,0.8,0.6,0.6336507936507937
23.0,0.7,0.2,250,3,1.0,0.6,0.9,0.6311111111111111
40.0,0.8,0.1,1250,5,1.0,1.0,0.8,0.629050949050949
45.0,0.7,0.25,1000,4,1.0,0.8,0.8,0.6287878787878787
14.0,0.6,0.2,250,5,1.0,0.6,0.6,0.6238816738816739
39.0,1.0,0.15,100,3,0.5,0.7,0.6,0.6233333333333333
27.0,0.6,0.25,1250,5,0.5,1.0,0.9,0.6218181818181818
22.0,0.6,0.2,1500,2,0.1,0.8,1.0,0.6215873015873016
20.0,0.6,0.3,1000,4,1.0,0.9,0.6,0.6188888888888888
0.0,0.7,0.1,100,3,0.5,0.7,0.6,0.6171428571428571
41.0,0.6,0.05,750,1,0.5,0.8,0.6,0.6157575757575757
31.0,0.8,0.3,750,4,1.0,0.8,0.6,0.6142857142857143
50.0,0.7,0.3,1500,2,1.0,0.7,0.9,0.6130735930735931
62.0,0.9,0.05,1500,2,1.0,0.8,1.0,0.6066666666666667
47.0,1.0,0.2,250,5,0.5,0.8,0.9,0.6031746031746031
49.0,0.9,0.1,500,5,0.5,0.7,0.9,0.6022222222222222
48.0,0.9,0.2,250,2,1.0,0.9,0.7,0.6014285714285715
37.0,0.7,0.1,1000,1,1.0,1.0,0.6,0.598888888888889
4.0,1.0,0.3,1000,1,0.5,0.9,0.6,0.5966666666666667
11.0,0.9,0.25,1000,4,0.5,0.8,0.7,0.5878787878787878
13.0,0.7,0.25,250,4,0.5,0.9,1.0,0.5878787878787878
36.0,0.7,0.3,500,2,1.0,0.8,0.6,0.5846464646464646
55.0,0.6,0.05,250,5,1.0,0.8,0.6,0.5733333333333334
19.0,0.7,0.3,750,2,0.25,0.8,0.6,0.5713131313131313
34.0,0.6,0.2,100,5,1.0,0.6,0.7,0.5686291486291487
28.0,0.6,0.1,100,3,1.0,0.9,0.9,0.568051948051948
33.0,0.6,0.2,1250,4,0.5,0.7,0.9,0.5577777777777778
35.0,0.6,0.25,100,3,1.0,0.8,0.8,0.5555555555555556
52.0,0.7,0.2,1000,4,0.1,0.9,0.6,0.5494372294372295
30.0,0.8,0.25,500,3,1.0,0.9,1.0,0.5486291486291487
5.0,0.8,0.05,500,1,1.0,0.7,0.6,0.5464646464646465
64.0,0.7,0.25,250,1,0.5,0.9,0.8,0.5377777777777778
38.0,0.6,0.25,1250,3,0.5,0.6,0.7,0.5333333333333333
10.0,0.9,0.15,750,4,1.0,0.7,0.7,0.5322222222222222
21.0,0.7,0.05,250,4,1.0,0.9,1.0,0.5321212121212122
51.0,0.7,0.2,100,1,0.1,0.7,0.7,0.531965811965812
25.0,0.8,0.3,500,5,0.5,0.7,0.8,0.5277777777777778
26.0,0.9,0.1,500,1,1.0,0.9,0.7,0.5252991452991453
29.0,0.8,0.1,1500,3,1.0,0.7,1.0,0.5162703962703963
1.0,0.6,0.3,1500,4,1.0,0.7,0.8,0.5025974025974025
60.0,0.6,0.2,750,5,1.0,0.8,0.7,0.49273504273504276
46.0,0.8,0.2,100,4,0.5,0.6,1.0,0.49070707070707076
54.0,0.6,0.1,100,1,0.5,0.8,0.6,0.49050505050505044
58.0,0.7,0.2,100,3,1.0,1.0,1.0,0.4833333333333333
12.0,0.6,0.05,750,1,1.0,1.0,1.0,0.4593650793650793
