ch_number,tol,max_iter,C,f1-score
20.0,0.0001,100,0.2,0.6824722588200849
36.0,5e-05,100,0.02,0.6745532245532246
2.0,2e-05,100,0.02,0.6549060398030649
11.0,0.0001,100,0.2,0.6492753623188405
42.0,5e-05,100,0.05,0.635072463768116
34.0,0.0002,500,0.05,0.6205627705627705
24.0,0.001,100,0.2,0.6143398630355151
38.0,5e-05,200,0.5,0.612463768115942
39.0,1e-05,100,0.01,0.6032181761593526
17.0,0.005,100,0.01,0.5938567774936062
15.0,0.005,100,0.1,0.5930338164251208
29.0,2e-05,200,0.01,0.5896441102756892
19.0,0.0002,200,0.1,0.587878787878788
22.0,0.0005,200,0.5,0.5859025032938077
31.0,2e-05,100,0.1,0.5819174022011551
41.0,0.001,200,5,0.5818381618381618
4.0,0.005,100,0.01,0.5756190476190475
8.0,5e-05,100,0.02,0.5734845017682546
45.0,0.002,2000,0.2,0.5716756673278411
26.0,5e-05,100,1,0.5638923395445133
9.0,0.005,100,0.02,0.5636785243741766
18.0,0.005,100,0.1,0.5624798711755232
40.0,0.0001,100,0.01,0.5607398205659075
35.0,1e-05,200,1,0.5579519895309369
3.0,0.002,100,0.5,0.5578329882677708
16.0,0.001,200,5,0.5575205496258129
13.0,0.0002,200,0.2,0.5531067538126362
23.0,5e-05,500,2,0.5507610037021802
27.0,0.0005,100,0.01,0.550613154960981
28.0,0.0002,200,5,0.5495169082125605
33.0,5e-05,500,0.2,0.5488502415458938
25.0,5e-05,100,0.02,0.5484962406015037
5.0,0.005,100,0.01,0.5481360923816166
43.0,1e-05,200,0.01,0.5441107643945172
30.0,0.005,200,0.01,0.542875964615095
6.0,0.002,100,0.2,0.5297489177489177
21.0,0.001,500,0.1,0.5269667262786121
0.0,1e-05,100,0.5,0.5248819875776397
14.0,0.005,100,0.02,0.5182222222222223
7.0,1e-05,100,5,0.5113792873792874
10.0,0.0005,100,0.01,0.5065185185185185
1.0,0.005,200,0.2,0.5033816425120772
12.0,0.0001,200,0.05,0.45785537117344893
44.0,0.005,200,0.5,0.4522611574273978
37.0,5e-05,100,10,0.40329768270944744
32.0,0.002,100,0.1,0.37924812030075183
