ch_number,tol,max_iter,l1_ratio,C,f1-score
38.0,5e-05,1000,0.6,1,0.7367645687645689
42.0,0.0001,200,0.2,10,0.703901895206243
13.0,0.0005,200,0.8,0.5,0.7000818491852976
1.0,0.0001,100,1,0.2,0.6933640552995393
4.0,0.001,750,1,0.1,0.6887496519075466
41.0,2e-05,200,0.6,0.2,0.6836574440052702
22.0,5e-05,100,0,5,0.675939393939394
16.0,2e-05,200,0.4,1,0.6739047619047619
2.0,0.0002,100,1,0.1,0.6738461538461539
11.0,5e-05,100,0.6,0.1,0.6677109557109556
10.0,0.0002,400,1,0.2,0.6666666666666666
18.0,2e-05,200,1,0.2,0.6606369282891021
29.0,2e-05,400,1,0.1,0.6580764163372859
28.0,5e-05,200,1,0.1,0.6572867132867133
15.0,5e-05,200,1,0.1,0.6548695652173914
9.0,2e-05,100,1,0.1,0.6534632034632035
20.0,0.0001,400,0.4,1,0.6526644370122631
32.0,5e-05,100,1,0.1,0.6506421276165437
14.0,0.0005,100,0,5,0.6505069124423963
43.0,2e-05,100,0.2,0.1,0.6472727272727272
44.0,0.0005,100,1,0.1,0.6436996336996337
31.0,2e-05,100,1,0.2,0.6391737891737892
39.0,0.0005,100,0.4,0.1,0.6372989329511067
17.0,0.0002,1000,1,0.2,0.6335216271143045
33.0,0.0002,1000,1,0.1,0.6194748941318815
24.0,0.0002,750,0.2,0.5,0.6184394671351192
30.0,5e-05,100,0,10,0.6172727272727273
27.0,0.001,400,0,0.1,0.6143290043290043
8.0,0.0002,100,0,1,0.6137435897435897
34.0,0.0002,400,1,1,0.6118441558441557
5.0,0.0002,400,0.6,0.1,0.6108695652173913
19.0,0.0002,100,0.8,0.1,0.6065714285714285
45.0,0.0005,1000,0.6,0.5,0.6046395633352156
12.0,0.001,100,0.8,0.1,0.6044663382594416
7.0,2e-05,100,0.8,1,0.6041949110914627
3.0,0.0005,750,1,0.1,0.603193675889328
36.0,0.0005,1000,1,0.2,0.6028137009189642
35.0,0.001,200,1,0.2,0.597968253968254
23.0,2e-05,100,0.8,2,0.5978072651985695
25.0,0.001,200,1,0.1,0.5876190476190476
21.0,0.0002,1000,0.8,0.1,0.5874401723371975
40.0,0.0002,100,1,0.1,0.5852842809364549
26.0,0.0005,100,1,0.1,0.5805185185185187
37.0,0.0001,100,0.8,0.1,0.5789781876738397
6.0,0.0001,100,0.6,0.1,0.5725962732919255
0.0,0.0001,100,1,0.1,0.5415674760022585
