ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
36.0,1.0,0.25,1000,1,1.0,0.8,1.0,0.7311018534817161
34.0,0.8,0.25,1250,3,1.0,0.9,0.6,0.7149765886287626
24.0,0.8,0.25,250,5,0.25,1.0,1.0,0.7139751552795032
15.0,0.7,0.3,1000,5,1.0,0.9,0.7,0.7119894598155467
9.0,1.0,0.25,250,3,0.25,0.6,1.0,0.7061720887807844
43.0,1.0,0.1,1250,2,1.0,1.0,1.0,0.7017249417249417
35.0,0.6,0.2,1000,2,0.25,0.9,1.0,0.6993096179183136
19.0,1.0,0.15,1250,2,0.05,0.7,1.0,0.6990400903444381
41.0,0.6,0.2,500,2,1.0,0.6,0.6,0.6915220431742171
30.0,0.6,0.15,100,1,0.05,1.0,1.0,0.6909331048761335
1.0,0.9,0.15,500,2,1.0,0.9,0.9,0.6875420875420876
11.0,1.0,0.1,100,5,1.0,0.9,0.8,0.68404662004662
28.0,1.0,0.3,1500,3,1.0,0.8,0.7,0.6837899095564998
22.0,0.6,0.15,100,4,0.05,1.0,1.0,0.6837435897435897
5.0,0.9,0.2,250,4,0.25,0.9,1.0,0.6835555555555556
4.0,1.0,0.15,100,2,0.05,0.7,0.7,0.6833890746934225
13.0,0.8,0.2,750,5,0.5,0.9,0.6,0.680405445050754
33.0,0.8,0.15,1500,5,0.1,0.8,0.9,0.678780517389213
23.0,0.7,0.2,1000,2,0.05,0.9,1.0,0.6775919732441471
0.0,0.8,0.2,250,2,1.0,0.7,0.8,0.6750786367628473
40.0,0.6,0.1,250,3,1.0,0.8,0.6,0.6664102564102564
29.0,1.0,0.05,1500,3,0.5,0.9,0.8,0.6632938076416337
31.0,0.8,0.25,1500,2,0.05,1.0,0.7,0.6632505175983436
27.0,0.7,0.15,100,5,0.05,0.6,1.0,0.6615384615384615
45.0,0.7,0.15,100,4,0.05,0.9,0.9,0.6597342657342657
25.0,0.6,0.25,100,1,0.1,1.0,0.7,0.6588880105401845
18.0,0.7,0.3,500,3,0.5,0.8,0.7,0.657687240295936
44.0,0.7,0.2,1000,3,0.5,0.8,0.6,0.6550995670995671
17.0,0.7,0.05,1250,3,1.0,0.9,0.8,0.6533333333333333
21.0,0.6,0.3,250,5,1.0,1.0,1.0,0.6511710897797854
2.0,0.6,0.15,1000,5,0.25,0.6,0.7,0.6507446393762183
14.0,1.0,0.15,500,3,1.0,1.0,0.7,0.6490580296896086
42.0,1.0,0.3,250,4,0.25,1.0,0.7,0.6475524475524475
39.0,0.8,0.05,250,3,0.25,0.8,0.6,0.6395872685666736
20.0,0.8,0.05,750,2,0.1,0.7,1.0,0.6280632411067193
12.0,0.9,0.15,500,1,0.5,0.9,0.7,0.6271304347826088
32.0,0.6,0.25,250,4,1.0,0.7,0.6,0.6266245059288538
3.0,0.6,0.3,1500,3,0.25,0.6,0.7,0.6180621118012423
37.0,1.0,0.05,1500,1,1.0,0.7,0.8,0.6153949579831932
16.0,0.7,0.1,100,4,0.05,0.6,0.7,0.6054760312151617
6.0,0.7,0.2,250,3,0.25,0.9,0.7,0.603096903096903
10.0,0.9,0.05,750,3,0.25,0.6,0.8,0.6011350967872706
8.0,0.7,0.25,750,4,1.0,1.0,0.8,0.6006606726606727
38.0,0.7,0.05,1000,4,0.5,0.9,0.9,0.5782659369615892
26.0,0.7,0.15,1500,5,0.1,1.0,0.9,0.5743624491450577
7.0,0.6,0.25,100,1,0.05,0.7,1.0,0.5621792056574666
