ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
11.0,8,3,11,0.7026666666666668
23.0,10,3,2,0.6996503496503496
9.0,4,2,3,0.6875041952707857
17.0,10,4,8,0.6846031746031747
28.0,2,4,3,0.6802294040145702
24.0,6,2,5,0.679312398643668
30.0,2,1,1,0.6674338667986581
5.0,10,3,11,0.6670750988142293
0.0,4,1,10,0.6642016598538337
1.0,8,3,8,0.6632735219691741
37.0,4,3,13,0.6628424908424909
3.0,6,4,5,0.6584679089026915
44.0,2,1,3,0.6571428571428571
10.0,4,1,2,0.6538550724637682
31.0,2,1,1,0.6537259062776304
42.0,8,3,12,0.6513928100884623
40.0,10,4,8,0.6399430199430199
22.0,10,3,5,0.6384513457556936
36.0,4,3,7,0.6347878787878788
33.0,10,1,15,0.6343685300207038
14.0,8,4,9,0.6338374592608002
32.0,2,2,2,0.6304242424242424
15.0,6,2,3,0.6296785243741766
41.0,2,1,8,0.6279779896148182
16.0,10,1,10,0.623425769077943
43.0,2,4,2,0.6212250712250712
27.0,4,3,2,0.6198295739348371
45.0,6,2,7,0.6190144927536232
4.0,6,1,15,0.6179183135704875
34.0,8,3,13,0.6108571428571429
29.0,6,1,15,0.6068511198945982
20.0,8,1,12,0.6063241106719368
35.0,6,4,4,0.6037651044607567
39.0,10,1,5,0.6036094276094277
21.0,2,3,7,0.5980588493631972
7.0,4,1,6,0.5911375661375662
19.0,8,4,8,0.5898487985444507
25.0,6,1,6,0.5873517786561264
12.0,2,1,1,0.5860608802961744
13.0,6,3,9,0.5833728590250329
2.0,2,1,4,0.5826007326007325
26.0,4,1,7,0.5551578947368421
6.0,4,1,7,0.5405445431761221
18.0,4,1,12,0.5376418648729862
8.0,2,1,7,0.5301920809929963
38.0,6,3,14,0.4937833714721587
