,ch_names
0,LSF_3-1
1,LSF_4-3
2,LSF_5-4
3,LSF_6-5
4,LSF_8-6
5,LpCING_4-3
6,LpCING_5-4
7,LpCING_6-5
8,LpCING_7-6
9,LpCING_8-7
10,LOFAC_2-1
11,LOFAC_3-2
12,LOFAC_4-3
13,LOFAC_5-4
14,LOFAC_6-5
15,LOFAC_7-6
16,LOFAC_8-7
17,LdAC_3-2
18,LdAC_4-3
19,LdAC_5-4
20,LdAC_6-5
21,LdAC_7-6
22,LdAC_8-7
23,LAF_5-3
24,LAF_6-5
25,LAF_7-6
26,LAF_8-7
27,LMH_2-1
28,LMH_3-2
29,LMH_4-3
30,LMH_5-4
31,LMH_6-5
32,LMH_7-6
33,LMH_8-7
34,LEC_2-1
35,LEC_3-2
36,LEC_4-3
37,LEC_5-4
38,LEC_6-5
39,RdAC_2-1
40,RdAC_3-2
41,RdAC_4-3
42,RdAC_5-4
43,RdAC_6-5
44,RdAC_7-6
45,RdAC_8-7
