ch_number,tol,max_iter,l1_ratio,C,f1-score
40.0,0.0005,1000,0.8,0.1,0.7995183946488295
0.0,5e-05,100,1,2,0.7636026936026935
31.0,0.0001,100,0.2,0.1,0.7479886039886041
42.0,0.0002,200,0.8,5,0.7416450216450217
4.0,0.0002,100,0.4,0.1,0.7367521367521366
29.0,2e-05,200,1,0.1,0.7367521367521366
14.0,5e-05,100,1,0.1,0.7354312354312355
41.0,0.0005,200,0.6,1,0.735014985014985
17.0,0.0005,100,1,0.1,0.7336595353117092
25.0,2e-05,100,0.6,0.1,0.7335384615384616
11.0,2e-05,100,1,0.2,0.7329156010230179
36.0,5e-05,100,0.8,0.1,0.7321212121212122
30.0,0.0001,100,1,0.1,0.7290177133655396
22.0,0.0005,100,1,5,0.7270655270655271
1.0,0.001,100,0.8,0.1,0.7242551715595195
16.0,2e-05,100,1,0.2,0.7217976870150782
12.0,5e-05,100,1,0.1,0.7180478136999875
9.0,0.001,100,1,0.1,0.7145734265734267
2.0,5e-05,400,1,0.1,0.7129137529137528
7.0,0.001,200,1,0.1,0.7089855072463769
37.0,0.0001,100,1,0.1,0.7065849802371542
24.0,0.0002,1000,0.8,0.1,0.7051910408432147
8.0,0.0002,100,0.6,0.1,0.7032763532763533
33.0,5e-05,100,0.6,0.1,0.7011884057971014
32.0,2e-05,100,1,0.1,0.7004969651926174
23.0,5e-05,200,0.6,0.2,0.6993872053872053
39.0,0.001,100,0.8,0.1,0.6962223348310305
27.0,0.0001,1000,0.4,0.2,0.6845849802371541
20.0,2e-05,200,0.4,0.5,0.6800395256916996
35.0,0.0005,750,1,0.1,0.67995670995671
6.0,5e-05,750,0.6,0.2,0.6790334984708385
10.0,2e-05,400,1,0.1,0.6730909090909092
18.0,0.0005,100,1,0.1,0.671536231884058
15.0,0.001,200,1,0.1,0.6714003387916432
21.0,0.0002,100,1,0.1,0.6709878076834599
28.0,0.001,100,0.6,0.1,0.6659932659932659
38.0,0.0002,1000,1,0.1,0.6596491228070175
26.0,0.0005,1000,1,0.1,0.6563241106719367
34.0,2e-05,100,0.8,0.1,0.6519057239057238
13.0,2e-05,400,0.8,0.1,0.6483522071622758
5.0,0.0005,100,0.8,0.1,0.6482213438735178
43.0,0.0001,1000,1,0.1,0.6201511684349212
19.0,2e-05,100,1,0.5,0.6139556096077836
3.0,5e-05,100,1,10,0.5312021820030973
