ch_number,tol,max_iter,C,f1-score
23.0,0.002,100,10,0.7503678929765887
41.0,0.0001,100,0.2,0.734720199708758
32.0,0.0001,100,0.2,0.7105590062111802
0.0,5e-05,200,2,0.7036363636363636
8.0,0.0002,200,2,0.6899766899766899
20.0,1e-05,200,0.2,0.6845598845598845
31.0,0.0002,200,0.05,0.6730698287220026
26.0,2e-05,200,0.05,0.6688402825244929
40.0,0.005,100,0.02,0.6676097105508871
35.0,0.005,200,0.01,0.6563279857397506
42.0,0.005,100,0.01,0.6543351131451818
37.0,0.002,100,0.01,0.6536796536796536
11.0,0.005,100,0.05,0.6426328502415458
17.0,0.002,100,1,0.6425829725829726
16.0,1e-05,100,0.01,0.6346446562814848
30.0,2e-05,100,10,0.6346167557932263
36.0,0.0005,200,0.01,0.6252380952380953
27.0,1e-05,100,0.02,0.6177657582691907
43.0,0.0001,100,0.1,0.6071679197994987
6.0,0.001,200,0.5,0.6057971014492753
24.0,0.0002,200,0.02,0.604970760233918
33.0,0.001,100,0.01,0.6021553884711779
18.0,0.001,100,0.01,0.6011111111111112
2.0,1e-05,100,0.01,0.6009821096777618
7.0,0.0005,100,10,0.591578947368421
4.0,0.005,100,0.01,0.5879209486166007
29.0,0.0005,100,0.5,0.5866689252776209
28.0,0.005,100,0.01,0.5861064425770308
19.0,0.005,100,0.02,0.5810144927536232
21.0,0.005,100,0.2,0.5771959310039805
13.0,0.005,100,0.05,0.5741587301587302
12.0,0.005,100,0.01,0.569548872180451
1.0,5e-05,100,0.05,0.5670120756436546
5.0,0.001,200,0.2,0.5662337662337661
9.0,0.005,100,0.05,0.5473728885493591
10.0,0.005,100,0.2,0.5468367889420521
14.0,0.005,100,0.01,0.5375702101102559
15.0,0.005,100,0.01,0.5305263157894736
25.0,0.005,100,0.01,0.5127186700767263
34.0,1e-05,100,2,0.5115961258645334
22.0,0.0002,100,0.01,0.509090909090909
3.0,0.005,100,0.01,0.49844908714473923
38.0,0.002,100,0.01,0.49338640719445664
39.0,0.005,100,0.01,0.4769904931669638
