ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
38.0,2,1,14,0.8117964644051601
15.0,2,1,1,0.8076363636363636
40.0,4,3,3,0.7876851218956482
31.0,2,1,1,0.7793939393939394
0.0,2,4,4,0.7732537652742257
7.0,6,3,14,0.737145828999376
12.0,8,4,12,0.7325757575757577
28.0,6,3,6,0.7324720893141945
10.0,10,4,3,0.7289026915113871
39.0,4,4,11,0.7262594990149169
11.0,8,1,3,0.7252039188881293
2.0,2,1,1,0.7244155844155845
22.0,2,3,6,0.7142788129744652
33.0,10,1,2,0.7063809523809524
24.0,2,1,1,0.699822438431134
25.0,4,1,14,0.6830986557302345
20.0,6,1,3,0.6782857142857142
21.0,6,1,2,0.6776190476190476
4.0,10,4,5,0.6726361357940305
3.0,2,3,3,0.6684057971014493
8.0,6,1,2,0.6676536796536798
14.0,2,3,13,0.6648447204968944
43.0,8,1,3,0.6646205764741234
6.0,8,3,3,0.6642857142857143
32.0,4,1,9,0.6642586399108138
29.0,2,1,1,0.6639714671293617
16.0,6,2,1,0.6611513687600643
23.0,10,3,15,0.656777493606138
26.0,2,1,10,0.6506666666666667
1.0,8,3,2,0.649505582137161
34.0,8,3,3,0.6455555555555555
41.0,2,2,1,0.6425971792225662
36.0,2,1,1,0.6414747474747474
9.0,6,4,12,0.6410063366585106
17.0,6,1,8,0.6318546365914788
27.0,6,1,2,0.6316700843016632
19.0,8,1,13,0.6314745196324144
18.0,8,3,7,0.6309007697108384
37.0,6,1,3,0.6296650717703349
30.0,2,1,2,0.6188266119845067
42.0,2,1,1,0.6161616161616161
13.0,2,3,2,0.6047019220291532
5.0,4,1,11,0.577799043062201
35.0,2,1,1,0.5377990430622009
