ch_number,tol,max_iter,C,f1-score
39.0,0.005,100,0.01,0.7189090909090909
8.0,0.0005,500,0.02,0.6891277997364954
62.0,0.0002,200,0.05,0.6847573479152427
3.0,0.0001,200,0.01,0.6733333333333335
37.0,0.0001,100,0.05,0.6644327331283852
15.0,2e-05,200,0.05,0.6560963674007152
14.0,5e-05,200,1,0.65
61.0,0.005,100,0.01,0.6492248803827751
4.0,0.005,100,0.05,0.6462271062271062
30.0,0.002,100,0.01,0.6417443609022556
36.0,0.0005,200,0.2,0.6395169082125604
10.0,0.001,100,0.1,0.6390476190476191
66.0,5e-05,100,0.01,0.6368612440191388
54.0,0.001,100,0.01,0.6318840579710145
46.0,0.002,500,2,0.6218814229249012
28.0,0.005,100,0.01,0.6213250517598343
23.0,0.0002,100,2,0.6152173913043478
21.0,0.005,100,0.02,0.6144280067758328
7.0,5e-05,2000,0.02,0.6129377990430622
1.0,0.002,100,0.02,0.6122654462242563
50.0,0.005,100,0.05,0.6108430496531183
48.0,0.005,100,2,0.6097402597402597
11.0,0.0005,100,1,0.6068648998060763
38.0,0.005,200,0.5,0.6042605815237394
9.0,0.005,100,0.01,0.6032829900839054
58.0,5e-05,200,0.01,0.6016205533596839
47.0,0.0001,100,0.2,0.599322416713721
41.0,2e-05,200,0.01,0.5952236322030372
49.0,0.005,100,0.01,0.5941276115189158
53.0,0.002,100,0.05,0.5930931677018634
35.0,2e-05,100,0.05,0.5885340022296544
16.0,0.001,100,0.5,0.5864242424242424
31.0,1e-05,100,5,0.5831945831945833
17.0,0.001,100,2,0.5770022883295194
45.0,1e-05,100,0.05,0.5756190476190476
2.0,0.0001,100,0.5,0.5744513457556936
0.0,0.0001,200,0.05,0.5724681752690907
64.0,0.0005,200,0.02,0.5720496894409938
59.0,0.005,100,0.1,0.5719613526570049
60.0,0.0005,100,0.1,0.5677739804055594
43.0,0.0002,100,0.01,0.565282111735201
27.0,0.0001,100,0.2,0.5609565217391305
5.0,0.0001,100,0.2,0.5462011418533157
55.0,2e-05,100,0.01,0.5430641821946169
26.0,0.005,200,0.01,0.5361314749323903
33.0,0.0002,100,5,0.5360141460370293
44.0,1e-05,100,1,0.5336438923395445
52.0,0.005,100,0.01,0.5257971014492753
51.0,0.005,100,0.01,0.5189549961861175
19.0,5e-05,100,0.05,0.5154700854700855
42.0,0.0001,100,0.02,0.5143728887435981
56.0,0.001,100,5,0.514029304029304
40.0,0.0001,100,0.01,0.5085470593479746
57.0,0.005,100,0.02,0.5050824888307726
65.0,0.005,500,0.5,0.4992731829573936
22.0,0.005,200,0.1,0.4987534845017684
63.0,0.002,100,0.02,0.4978416945373468
24.0,0.002,100,0.02,0.4969425936382458
29.0,0.0005,100,0.05,0.49189931350114424
13.0,0.005,200,10,0.4863855950812471
18.0,0.001,100,0.01,0.4823959899749374
6.0,0.002,100,0.01,0.4769314998726763
34.0,0.0005,200,0.02,0.4761616161616161
12.0,0.005,100,0.01,0.46860843731431967
32.0,0.0001,100,0.2,0.4654329004329004
25.0,0.0001,100,5,0.4525179615705932
20.0,0.001,200,10,0.3610207336523126
