ch_number,tol,max_iter,l1_ratio,C,f1-score
61.0,0.0002,100,0.6,0.1,0.7481473437995178
39.0,0.001,750,0.6,0.1,0.7391688311688311
4.0,0.0005,100,1,0.2,0.7360627622696588
37.0,0.0002,200,0,5,0.7154604016672982
3.0,2e-05,1000,1,0.1,0.7141758241758241
64.0,0.0002,100,0.8,0.2,0.710857142857143
18.0,0.0001,100,0.6,0.1,0.7093537675606643
31.0,5e-05,100,0.8,0.1,0.7084072249589491
36.0,0.0005,100,1,0.2,0.703544475958269
8.0,0.0002,400,0.2,0.2,0.7018648018648019
10.0,2e-05,100,0.6,0.1,0.6995974235104669
15.0,5e-05,100,1,5,0.6963809523809524
62.0,0.0002,100,1,0.2,0.69632041122296
60.0,0.0005,400,1,0.1,0.6950431597388119
30.0,0.0005,100,1,0.5,0.6942433862433862
50.0,0.0002,100,1,0.1,0.6869930069930069
47.0,0.0001,100,1,0.1,0.6858619641228336
35.0,0.001,100,0.4,0.2,0.6770571457527979
7.0,0.0002,400,0.6,0.1,0.6691105216622458
52.0,0.0002,100,0.6,0.1,0.6673939393939394
43.0,0.0002,200,1,2,0.6673333333333333
66.0,0.001,100,1,0.2,0.6666852432369674
14.0,2e-05,200,0.4,0.1,0.663040663040663
44.0,2e-05,1000,1,0.1,0.6624776962168267
19.0,0.0001,200,1,0.1,0.6622710622710622
23.0,0.001,100,1,0.1,0.655438127090301
0.0,5e-05,100,0.6,0.1,0.6526771579245343
55.0,0.0001,1000,1,0.1,0.6482415934889698
9.0,0.0001,200,1,0.1,0.6478072651985696
1.0,0.0002,100,0.2,0.2,0.646919746919747
6.0,0.001,1000,0.8,0.1,0.6466808553765075
48.0,0.0001,100,1,0.1,0.6450698287220027
46.0,5e-05,100,1,10,0.6443663003663004
29.0,0.0005,100,0.8,0.2,0.643317277869002
11.0,2e-05,100,1,0.5,0.642972164711295
49.0,2e-05,100,1,0.2,0.6429512516469037
54.0,5e-05,750,0.8,0.1,0.6383496503496503
28.0,0.001,750,0.2,0.1,0.6361212121212121
20.0,0.0005,200,1,0.1,0.6314202898550725
59.0,0.001,1000,0.2,0.1,0.6264664031620554
34.0,2e-05,100,1,0.1,0.6226666666666667
65.0,5e-05,100,1,0.1,0.6180621118012423
17.0,0.001,100,0,5,0.6175546841963634
21.0,2e-05,100,0.6,0.1,0.6125714285714285
38.0,0.0002,200,0.2,0.2,0.6049122807017544
51.0,2e-05,100,0.8,0.1,0.5969826469826469
5.0,2e-05,400,0.8,0.1,0.595161041856694
2.0,5e-05,400,1,0.2,0.5942499529456051
45.0,0.0001,200,1,0.2,0.5939047619047619
41.0,0.0001,100,0.6,10,0.5932067932067933
27.0,0.001,1000,1,5,0.5882672689629211
53.0,5e-05,750,0.6,10,0.5873593073593074
58.0,0.0002,750,0.2,0.2,0.5844927536231885
22.0,0.0001,200,0.6,0.2,0.5817721561428655
16.0,0.0001,200,0.8,0.1,0.5784009324009323
40.0,0.001,100,1,0.2,0.5758181818181819
13.0,0.0001,100,0.4,0.5,0.5702108262108262
42.0,0.0005,200,1,0.1,0.5692964426877472
26.0,0.0002,100,0,10,0.5668083735909824
25.0,0.0005,200,0.8,0.1,0.5655426312817617
24.0,0.0002,100,0.6,0.1,0.5596363636363636
57.0,0.0005,1000,1,0.1,0.5494394880481837
32.0,0.0005,750,1,0.1,0.5454649469523611
56.0,0.0001,750,0,10,0.5436689549961862
63.0,5e-05,100,0.4,0.1,0.5365925925925926
12.0,0.0001,100,0.4,0.2,0.5356199864209017
33.0,0.0005,1000,0.8,0.1,0.5274805194805194
