ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
15.0,1.0,0.15,750,2,1.0,0.6,0.6,0.7802313628400585
35.0,1.0,0.1,1000,3,1.0,0.7,0.6,0.77220895046982
59.0,0.7,0.1,750,3,1.0,0.6,1.0,0.7488562548562548
2.0,1.0,0.2,250,3,0.5,0.9,1.0,0.7450448864636506
4.0,0.8,0.2,1000,5,1.0,0.8,0.8,0.7343162055335969
23.0,0.9,0.15,1250,5,0.1,0.8,0.7,0.7338550724637681
40.0,0.9,0.25,100,5,0.1,0.8,1.0,0.7323399209486167
8.0,0.8,0.25,500,1,1.0,1.0,0.9,0.7312885375494071
58.0,0.8,0.15,100,3,0.25,0.7,0.8,0.7301204013377927
52.0,0.7,0.25,1250,4,0.25,0.6,0.7,0.7285191040843214
61.0,0.6,0.3,100,4,0.1,1.0,0.9,0.718974358974359
60.0,0.8,0.2,100,2,0.25,0.6,0.8,0.7186418219461699
43.0,0.7,0.2,500,4,1.0,1.0,0.8,0.7139355770934717
51.0,0.6,0.1,1000,1,0.5,0.9,1.0,0.7125071225071224
9.0,0.8,0.15,100,4,0.1,0.9,0.7,0.7115805733496887
16.0,0.6,0.3,100,3,0.5,0.9,0.7,0.7111884057971014
3.0,0.6,0.3,1250,3,0.25,1.0,1.0,0.7101510297482838
12.0,0.6,0.25,100,4,0.1,0.6,0.9,0.7087542087542087
37.0,0.7,0.2,1250,5,0.25,1.0,1.0,0.7037004225160148
14.0,1.0,0.1,750,3,0.5,0.6,0.7,0.6991792418108207
65.0,0.9,0.3,500,1,0.5,0.9,0.7,0.6988290543723352
47.0,0.6,0.2,1250,1,0.5,0.9,0.6,0.6982857142857143
0.0,1.0,0.1,100,4,0.5,1.0,0.7,0.6981047937569677
31.0,0.9,0.3,100,5,0.05,0.6,1.0,0.698045954045954
66.0,0.8,0.25,1000,2,0.25,0.7,0.8,0.6964397920919659
62.0,1.0,0.25,500,5,0.25,0.9,0.9,0.696053872053872
22.0,0.8,0.15,100,2,0.05,0.8,0.7,0.6954827201783724
49.0,1.0,0.3,100,5,1.0,0.6,0.9,0.6954485514485516
36.0,0.6,0.05,500,2,0.25,0.9,0.6,0.6945270092226614
26.0,1.0,0.2,750,2,1.0,0.8,1.0,0.6927430830039525
55.0,0.6,0.3,1250,3,0.5,0.6,0.6,0.6907647714604237
46.0,1.0,0.2,250,3,0.25,0.9,0.8,0.6894545454545454
44.0,0.6,0.1,1500,4,0.5,0.7,0.7,0.6892557480658168
27.0,0.6,0.1,1500,3,0.05,0.7,0.9,0.6891304347826087
19.0,0.8,0.05,1250,5,0.5,0.9,0.8,0.6874741200828157
63.0,0.7,0.05,1000,1,1.0,0.8,0.8,0.6871794871794871
64.0,0.9,0.2,250,4,0.05,0.9,0.6,0.6863461819983558
7.0,0.7,0.1,250,5,1.0,0.8,0.6,0.6853754940711463
21.0,0.6,0.25,100,3,0.5,1.0,0.9,0.6821769534813014
5.0,0.6,0.2,100,3,0.1,0.6,0.8,0.6817342657342659
11.0,0.7,0.2,500,3,1.0,0.8,0.8,0.6766025472112428
18.0,1.0,0.2,1000,2,0.1,0.9,1.0,0.6756215443171965
6.0,0.8,0.25,100,1,1.0,0.8,1.0,0.6720591003199698
13.0,1.0,0.05,1500,1,0.05,0.7,0.7,0.6717948717948717
56.0,0.6,0.25,750,3,0.25,0.6,0.6,0.6697244784201306
38.0,0.8,0.3,250,3,1.0,0.8,0.9,0.6689781876738399
29.0,0.6,0.1,1500,3,0.25,0.9,0.8,0.6676540850453894
41.0,0.8,0.3,100,2,0.25,0.7,0.8,0.6652390572390572
20.0,0.8,0.1,750,3,0.5,1.0,0.9,0.6646293706293707
53.0,0.8,0.25,1500,3,0.5,0.7,0.9,0.6624611330698287
34.0,1.0,0.15,1000,1,0.1,0.6,0.8,0.6623451910408432
1.0,0.6,0.25,750,4,0.25,0.7,0.8,0.6587033320946365
25.0,0.8,0.3,750,4,0.5,0.7,0.9,0.6579862166818689
57.0,1.0,0.05,100,2,0.05,0.7,0.7,0.6578286163963913
10.0,0.9,0.05,1500,1,1.0,0.7,0.8,0.6568051948051948
50.0,0.7,0.25,100,4,0.05,0.8,0.7,0.6560869565217391
42.0,0.6,0.2,500,5,0.5,0.8,1.0,0.6546060606060607
30.0,0.6,0.1,1250,4,0.25,0.9,1.0,0.6533195500152023
28.0,0.9,0.25,1500,4,1.0,1.0,0.9,0.6459762845849802
24.0,0.6,0.3,250,2,0.5,0.9,0.7,0.6457065897065897
33.0,0.8,0.05,1000,4,0.5,1.0,0.8,0.6442006688963211
54.0,0.7,0.05,100,1,0.05,0.7,0.9,0.6434782608695653
48.0,0.7,0.15,1000,3,0.25,0.7,0.9,0.6426589706589706
45.0,0.9,0.2,250,5,0.5,0.8,1.0,0.6415340022296545
17.0,0.8,0.2,1000,5,0.5,0.7,0.6,0.6268115942028986
39.0,0.9,0.2,100,3,1.0,0.8,0.9,0.616172992868645
32.0,0.9,0.1,750,3,1.0,0.7,0.7,0.6140222096743836
