ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
59.0,2,1,1,0.7545440595210416
31.0,4,3,14,0.7414675713302714
4.0,8,1,11,0.7293468849990591
14.0,2,1,1,0.7275279637348604
58.0,2,4,12,0.7227272727272727
49.0,2,3,12,0.7179183135704874
19.0,2,4,4,0.7171884057971014
32.0,10,3,7,0.7165217391304348
29.0,6,2,13,0.7118577075098814
65.0,2,1,1,0.7105905752862275
40.0,8,4,8,0.7034481460568417
60.0,2,1,2,0.6990377538503475
66.0,6,3,12,0.6963203463203463
62.0,8,2,2,0.6957575757575757
33.0,4,3,8,0.691372859025033
20.0,6,1,12,0.6893106893106893
23.0,2,1,5,0.6890442890442892
13.0,2,3,14,0.6877364953886693
15.0,8,1,8,0.6832529789051527
21.0,2,1,2,0.6786120857699806
0.0,8,3,7,0.6758461538461538
18.0,2,1,1,0.6754601720118961
2.0,2,1,6,0.673187681883334
51.0,4,3,10,0.6725858123569793
38.0,8,3,7,0.6724297924297925
43.0,6,3,13,0.6712181345224824
41.0,2,4,2,0.669856983596114
17.0,6,1,8,0.666077922077922
47.0,10,1,9,0.6631884057971014
22.0,8,3,13,0.6626293995859214
3.0,2,1,12,0.6600792114064424
52.0,6,4,7,0.6596770186335403
57.0,4,2,14,0.6588493631971893
6.0,4,3,12,0.6546395633352156
50.0,4,3,14,0.6539356295878035
53.0,4,4,3,0.6526888763410502
64.0,2,1,1,0.6502564102564102
10.0,8,1,12,0.6492753623188405
55.0,6,4,12,0.6489717046238784
1.0,8,1,11,0.6481351981351982
25.0,2,1,7,0.648110661268556
48.0,4,3,14,0.6448710445415251
5.0,4,1,10,0.6414967061923583
16.0,2,1,1,0.6373906453366723
12.0,8,3,10,0.6366609805145275
56.0,8,1,1,0.6360593792172738
46.0,4,2,12,0.6352380952380952
63.0,4,4,8,0.6309638831377962
37.0,2,1,7,0.6300250626566417
9.0,8,1,5,0.6219298245614036
44.0,4,3,2,0.6188902691511388
26.0,6,1,15,0.614935064935065
27.0,4,2,15,0.6136969696969696
39.0,2,1,6,0.6129523809523809
61.0,2,4,4,0.6109523809523809
36.0,6,4,2,0.6098008658008658
24.0,4,1,2,0.6061176470588235
30.0,2,1,9,0.603116883116883
42.0,6,1,6,0.6012542819499341
7.0,8,3,14,0.5886233766233767
54.0,2,1,2,0.5841076604554865
8.0,4,1,2,0.5819209775731515
11.0,8,4,12,0.5775268210050818
35.0,6,4,3,0.5700077700077699
28.0,10,4,6,0.5695646575646576
34.0,2,1,4,0.5662337662337662
45.0,2,2,11,0.5654080854309688
