,ch_names
0,LSMA_2-1
1,LSMA_3-2
2,LSMA_4-3
3,LSMA_6-4
4,LSMA_7-6
5,LSMA_8-7
6,LA_3-1
7,LA_5-3
8,LA_6-5
9,LA_7-6
10,LA_8-7
11,LF_2-1
12,LF_3-2
13,LF_4-3
14,LF_5-4
15,LF_6-5
16,LF_7-6
17,LF_8-7
18,LMFG_3-1
19,LMFG_4-3
20,LMFG_5-4
21,LMFG_6-5
22,LMFG_7-6
23,LMFG_8-7
24,LSTG_2-1
25,LSTG_3-2
26,LSTG_4-3
27,LSTG_5-4
28,LSTG_6-5
29,LSTG_7-6
30,LSTG_8-7
31,LOF_2-1
32,LOF_3-2
33,LOF_4-3
34,LOF_5-4
35,LOF_6-5
36,LOF_7-6
37,LOF_8-7
38,LPC_4-1
39,LPC_5-4
40,LPC_6-5
41,LAF_3-1
42,LAF_4-3
43,LAF_5-4
44,LAF_6-5
45,LAF_7-6
46,LAF_8-7
