ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
0,0.9,0.1,250,1,0.1,0.7,0.7,0.7013186813
41,0.9,0.1,100,5,0.25,0.6,0.6,0.6941724942
31,0.7,0.25,250,5,0.5,0.8,1,0.6904761905
13,0.7,0.05,1000,5,0.5,0.9,0.6,0.665967366
18,1,0.25,100,3,0.05,0.9,1,0.6478721279
32,1,0.05,500,3,1,0.8,0.6,0.6452057746
19,0.9,0.1,1250,3,1,0.6,0.6,0.6427350427
46,0.8,0.05,1250,1,1,0.6,0.8,0.6326007326
36,0.7,0.2,1250,1,1,0.8,0.7,0.6267732268
27,0.7,0.25,250,5,0.5,0.9,0.8,0.6140836941
48,1,0.25,1000,3,0.25,0.7,0.8,0.6112554113
14,0.9,0.2,500,1,1,0.7,0.6,0.6105011655
44,0.7,0.1,100,4,1,1,1,0.6048951049
28,0.8,0.3,100,3,1,0.9,0.9,0.6007575758
30,0.7,0.3,100,4,0.5,0.8,0.8,0.6002997003
45,1,0.25,1500,5,0.25,0.9,0.8,0.5955828485
25,0.7,0.2,1250,2,1,0.8,1,0.5931734932
22,0.8,0.1,500,1,0.5,0.7,0.9,0.5929270729
43,0.8,0.1,500,5,1,0.9,0.8,0.5909200603
50,0.6,0.1,100,2,0.5,1,0.7,0.5862271062
7,0.7,0.2,100,4,1,1,0.6,0.5800865801
11,0.6,0.05,750,5,0.25,1,0.6,0.58
3,1,0.2,1000,3,0.5,0.7,0.7,0.5753846154
26,0.6,0.05,1500,2,0.5,0.9,0.7,0.5742701743
51,0.9,0.15,1500,1,1,0.9,0.6,0.5737878788
35,0.8,0.1,500,2,0.05,0.8,0.8,0.5733116883
1,1,0.05,1500,5,0.25,0.9,0.7,0.5723479135
40,0.9,0.3,1250,2,1,1,0.6,0.5706959707
20,1,0.2,750,2,1,0.7,0.7,0.5686313686
2,0.7,0.3,1250,2,1,0.8,1,0.5630769231
16,0.9,0.25,1500,1,0.5,1,0.6,0.5630769231
23,0.8,0.15,100,2,1,0.6,0.9,0.5606837607
42,0.9,0.15,1000,3,1,1,0.7,0.5532201132
29,0.8,0.05,250,4,0.5,0.6,0.6,0.5440986791
47,0.6,0.25,750,5,0.25,0.6,0.6,0.5421245421
17,0.6,0.2,1250,3,1,0.6,0.9,0.534029304
39,0.7,0.05,1500,1,1,1,1,0.5333313745
52,0.7,0.2,750,5,1,0.7,0.6,0.52883587
15,0.7,0.25,1250,1,0.25,0.8,0.9,0.5266733267
10,0.6,0.05,1250,1,1,0.7,0.9,0.5260989011
9,0.8,0.1,1250,4,0.1,0.8,0.6,0.5255844156
38,0.9,0.1,100,3,1,0.7,0.9,0.5123809524
5,0.9,0.1,750,4,1,0.7,0.8,0.507965368
8,1,0.2,500,3,1,0.7,0.6,0.5033613445
53,0.8,0.1,100,4,1,1,0.8,0.4989010989
49,0.7,0.2,1500,2,0.5,0.6,1,0.4943856144
6,0.6,0.1,1000,4,1,0.9,0.8,0.4935531136
37,0.6,0.25,1250,1,1,0.9,1,0.491965812
33,0.9,0.2,250,1,1,0.6,0.9,0.4853729604
21,0.7,0.2,500,2,0.5,0.9,0.8,0.4812987013
34,0.6,0.05,1000,2,1,0.8,0.9,0.4804195804
4,0.7,0.05,100,2,1,1,0.6,0.4741258741
12,0.7,0.3,1000,2,1,0.6,1,0.453866395
24,0.6,0.15,1000,2,0.5,1,0.8,0.415952381
