ch_number,tol,max_iter,C,f1-score
18.0,0.005,100,0.1,0.6845421245421245
19.0,2e-05,200,0.1,0.6666450216450216
3.0,1e-05,500,0.1,0.6308003108003108
17.0,0.0005,500,0.2,0.584126984126984
22.0,0.0005,100,0.2,0.5832417582417582
10.0,0.001,100,2,0.5814452214452215
4.0,0.0005,100,1,0.5633333333333334
1.0,0.0002,200,2,0.5627264239028945
23.0,0.005,100,0.1,0.5617807029571735
0.0,0.005,100,0.1,0.5457142857142856
52.0,0.005,100,0.1,0.5370129870129869
16.0,0.0005,100,0.2,0.5337912087912088
31.0,0.002,200,0.2,0.5165151515151515
37.0,0.005,100,0.1,0.5021245421245422
11.0,0.005,100,0.1,0.5
34.0,0.0002,200,5,0.49720279720279714
24.0,0.002,100,0.2,0.48396270396270397
48.0,0.005,100,1,0.478021978021978
32.0,0.002,100,5,0.4774114774114774
26.0,0.005,200,0.1,0.4769230769230769
29.0,0.005,100,0.1,0.47480519480519473
25.0,1e-05,200,0.1,0.4707292707292707
33.0,0.002,200,1,0.4668664668664668
47.0,5e-05,100,5,0.4666666666666667
41.0,1e-05,200,1,0.4659307359307359
51.0,0.005,100,0.1,0.4574403374403374
13.0,0.005,100,0.1,0.451948051948052
20.0,0.005,100,0.1,0.4506493506493506
5.0,5e-05,100,10,0.44901764901764896
7.0,0.005,100,0.1,0.4446930846930847
14.0,0.005,100,0.1,0.44447712418300644
28.0,0.0002,200,10,0.4380803510215275
38.0,0.0002,100,1,0.4361416361416361
27.0,0.0002,100,5,0.43567821067821066
30.0,0.005,100,0.1,0.4275213675213675
35.0,0.005,100,0.1,0.42303030303030303
53.0,0.001,100,0.1,0.418076923076923
2.0,0.005,100,0.1,0.41147186147186143
50.0,0.005,100,0.1,0.4000713012477718
36.0,0.0005,100,0.5,0.3901587301587302
42.0,0.005,100,0.1,0.3823509823509823
9.0,0.005,100,0.1,0.3673076923076923
6.0,0.005,100,0.1,0.3611055611055611
44.0,0.005,100,0.1,0.35932067932067935
43.0,0.005,100,0.1,0.3563636363636363
46.0,0.0002,200,0.2,0.35333333333333333
8.0,0.002,100,2,0.3477922077922078
21.0,0.005,100,0.1,0.34725274725274724
15.0,0.0002,100,2,0.3466666666666666
12.0,0.005,100,0.1,0.3394405594405594
49.0,0.0002,100,0.5,0.33294705294705296
40.0,0.005,100,0.1,0.32468864468864467
45.0,2e-05,200,2,0.32370400840989083
39.0,0.005,100,0.1,0.29998001998001994
