ch_number,tol,max_iter,l1_ratio,C,f1-score
19.0,0.0002,1000,0.6,0.1,0.7110683760683761
3.0,0.0002,1000,1,0.2,0.7017832167832168
10.0,2e-05,750,0.4,0.5,0.6345920745920746
18.0,0.0005,1000,0.4,5,0.6335531135531135
16.0,0.001,1000,0.2,0.1,0.5928205128205127
1.0,0.0002,400,0.6,1,0.5900793650793652
11.0,0.0002,750,0.6,0.1,0.5897435897435896
52.0,0.0002,100,0.8,10,0.5828088578088577
0.0,5e-05,1000,0,0.5,0.5764102564102564
23.0,2e-05,750,1,0.1,0.5706959706959707
13.0,5e-05,750,0.6,0.2,0.5664535464535465
26.0,0.001,200,0.2,1,0.5613053613053613
34.0,0.0001,100,0.2,1,0.5322144522144522
24.0,0.0002,1000,0.2,0.1,0.5315817515817516
20.0,2e-05,750,0.8,0.2,0.5222510822510822
5.0,0.0001,400,1,0.2,0.5167832167832167
7.0,2e-05,1000,0.4,0.2,0.5151515151515151
48.0,2e-05,200,0.2,0.5,0.512087912087912
47.0,0.0001,750,0.8,1,0.5080919080919081
17.0,0.0005,750,0.8,0.2,0.5073326673326674
14.0,0.0002,200,0,2,0.4973737373737374
29.0,2e-05,1000,0,0.2,0.4971561771561772
32.0,0.0001,1000,0,1,0.49423076923076914
15.0,0.0005,1000,0.6,0.2,0.4926495726495726
41.0,0.0001,200,0,0.1,0.4910378510378511
53.0,0.0005,200,0.4,0.2,0.4864192343604109
8.0,0.0002,1000,0.8,0.2,0.48026315789473684
42.0,2e-05,1000,1,1,0.47691197691197684
30.0,0.0002,1000,1,0.2,0.4767765567765568
25.0,2e-05,1000,0.2,10,0.4673015873015872
27.0,0.0001,200,1,2,0.464011544011544
37.0,5e-05,1000,0,0.2,0.45641025641025645
51.0,0.0001,1000,0.4,0.5,0.4552958152958153
31.0,0.001,750,0.8,0.2,0.45074925074925065
38.0,0.001,400,0.8,0.1,0.45074925074925065
2.0,0.0001,750,0.8,1,0.43949383949383947
33.0,0.0001,750,0.4,0.1,0.4341391941391941
45.0,2e-05,200,1,0.1,0.43296703296703304
6.0,5e-05,1000,0.4,0.2,0.42622710622710624
9.0,0.0002,1000,1,0.1,0.42264402264402257
50.0,0.0002,1000,0.4,2,0.42080808080808085
28.0,0.0005,750,0.8,0.5,0.42062937062937056
43.0,0.0005,200,0.6,0.2,0.41908157202274854
44.0,5e-05,400,0.4,1,0.4127272727272727
35.0,0.0005,400,0.6,0.1,0.4018648018648019
21.0,5e-05,750,0.4,0.1,0.3961038961038961
36.0,5e-05,1000,1,0.2,0.39151515151515154
12.0,5e-05,200,0.8,0.2,0.38000000000000006
4.0,0.0001,750,1,0.5,0.37532467532467534
49.0,0.0001,1000,0.6,0.1,0.34652847152847155
40.0,0.0002,750,1,10,0.3437362637362637
46.0,0.0002,750,0.6,0.1,0.3377777777777778
39.0,0.0005,750,1,0.2,0.29939393939393943
22.0,5e-05,1000,0.8,0.5,0.12307692307692306
