,ch_names
0,LHC_2-1
1,LHC_3-2
2,LHC_4-3
3,LHC_5-4
4,LHC_6-5
5,LHC_7-6
6,LHC_8-7
7,RASF_4-3
8,RASF_5-4
9,RASF_6-5
10,RASF_7-6
11,RASF_8-7
12,LOF_2-1
13,LOF_3-2
14,LOF_4-3
15,LOF_5-4
16,LOF_6-5
17,LOF_7-6
18,LOF_8-7
19,ROPR_3-2
20,ROPR_4-3
21,ROPR_5-4
22,ROPR_6-5
23,ROPR_7-6
24,ROPR_8-7
25,ROF_3-2
26,ROF_4-3
27,ROF_5-4
28,ROF_6-5
29,ROF_7-6
30,ROF_8-7
31,RHC_5-3
32,RHC_6-5
33,RHC_7-6
34,RHC_8-7
35,RAC_2-1
36,RAC_3-2
37,RAC_4-3
38,RAC_5-4
39,RAC_6-5
40,RMF_2-1
41,RMF_3-2
42,RMF_4-3
43,RMF_5-4
44,RMF_6-5
45,RMF_7-6
46,RMF_8-7
