,ch_names
0,RH_3-1
1,RH_4-3
2,RH_5-4
3,RH_7-5
4,RH_8-7
5,RPreMotor_2-1
6,RPreMotor_3-2
7,RPreMotor_4-3
8,RPreMotor_5-4
9,RPreMotor_6-5
10,RPreMotor_8-6
11,RAC_3-1
12,RAC_5-3
13,LF_2-1
14,LF_3-2
15,LF_5-3
16,LF_7-5
17,RF_2-1
18,RF_3-2
19,RF_4-3
20,RF_5-4
21,RF_6-5
22,RF_7-6
23,RF_8-7
24,RSF_4-3
25,RSF_5-4
26,RSF_6-5
27,RSF_7-6
28,RSF_8-7
29,RA_4-3
30,RA_5-4
31,RA_6-5
32,RA_7-6
33,RA_8-7
34,RSMA_2-1
35,RSMA_3-2
36,RSMA_4-3
37,RSMA_5-4
38,RSMA_6-5
39,RSMA_7-6
40,RSMA_8-7
41,RdACC_2-1
42,RdACC_3-2
43,RdACC_4-3
44,RdACC_5-4
45,RdACC_6-5
46,RdACC_7-6
47,RdACC_8-7
48,LSMA_2-1
49,LSMA_3-2
50,LSMA_4-3
51,LSMA_5-4
52,LSMA_6-5
53,LSMA_7-6
54,LSMA_8-7
55,RMidCing_2-1
56,RMidCing_3-2
57,RMidCing_4-3
58,RMidCing_5-4
59,RMidCing_6-5
60,RMidCing_7-6
