ch_number,tol,max_iter,C,f1-score
51.0,0.0002,100,0.01,0.684579094795813
13.0,0.005,100,0.01,0.6465814151747655
14.0,0.002,100,2,0.6446311858076564
1.0,2e-05,200,0.01,0.624313725490196
56.0,0.001,100,0.02,0.6173499702911467
8.0,0.0005,100,0.05,0.6061118104461758
20.0,0.005,100,0.01,0.6045638713151165
40.0,2e-05,100,0.5,0.6027559093812964
17.0,5e-05,200,2,0.6006060606060606
11.0,0.005,100,0.01,0.5982726045883939
42.0,0.005,100,0.01,0.5840522875816994
24.0,0.005,100,0.01,0.5796536796536798
33.0,2e-05,100,10,0.5785122119023047
29.0,0.005,200,0.1,0.5776315789473684
45.0,0.005,100,0.01,0.5707602339181287
47.0,0.0005,100,0.02,0.5699346405228758
10.0,0.0005,200,2,0.568663101604278
19.0,5e-05,200,0.05,0.5676603272888102
7.0,0.001,200,0.2,0.5641139079583015
36.0,0.0002,100,0.05,0.5615067079463365
27.0,0.005,200,0.01,0.5583193277310924
48.0,0.001,100,1,0.5557619539043688
55.0,0.002,200,1,0.5525971792225662
50.0,0.005,100,0.02,0.5483660130718955
18.0,1e-05,200,0.5,0.5466489753796255
46.0,0.005,100,0.02,0.5461477222467935
6.0,0.005,100,0.01,0.546002886002886
0.0,0.005,100,0.01,0.5458823529411765
2.0,0.005,200,0.05,0.5436469962785752
54.0,0.001,100,0.01,0.5398692810457516
53.0,0.001,100,0.05,0.5368496106576602
15.0,0.005,100,0.01,0.5368295739348371
52.0,0.005,100,0.01,0.53602585961921
28.0,0.0005,100,0.05,0.5349019607843137
3.0,0.001,100,1,0.531279178338002
5.0,0.0001,100,0.01,0.5160224089635855
38.0,0.005,100,0.01,0.5121001031991744
34.0,0.0002,100,0.1,0.5114832535885168
16.0,0.0002,100,5,0.5082251082251081
58.0,0.005,100,0.01,0.5073380867498515
32.0,2e-05,100,0.01,0.5037581699346405
41.0,0.005,100,0.01,0.48919234360410835
35.0,0.005,100,0.01,0.48745098039215684
12.0,0.005,100,0.01,0.4816993464052287
44.0,0.0005,100,0.01,0.4798319327731092
26.0,0.002,100,0.05,0.4730409356725146
25.0,0.0002,200,0.05,0.47190476190476194
39.0,2e-05,100,0.01,0.4654183535762483
22.0,0.005,100,0.01,0.45581699346405224
21.0,0.005,100,0.01,0.45097774602418567
9.0,0.005,100,0.2,0.4495518207282913
31.0,2e-05,200,2,0.44717553688141926
4.0,0.0005,100,0.02,0.4453216374269006
23.0,0.005,100,1,0.44095366621682414
30.0,5e-05,100,0.05,0.43959383753501396
37.0,0.005,100,0.5,0.4392805543269939
43.0,0.005,100,0.01,0.43683147262094624
49.0,2e-05,100,0.1,0.404093567251462
57.0,0.005,100,0.05,0.37793601651186787
