ch_num,f1-score
0,0.44610722610722614
41,0.5837939837939838
31,0.44581196581196575
13,0.6276767676767677
18,0.5010989010989011
32,0.39634365634365637
19,0.562037962037962
46,0.44435564435564434
36,0.4936507936507937
27,0.41071428571428575
48,0.4333333333333333
14,0.5634032634032634
44,0.47272727272727266
28,0.31956043956043956
30,0.4713553113553114
45,0.5484249084249083
25,0.43956709956709955
22,0.5245487845487845
43,0.5221245421245422
50,0.49428571428571433
7,0.3047619047619048
11,0.46528138528138524
3,0.48572398190045246
26,0.41765567765567757
51,0.3621245421245421
35,0.5538461538461539
1,0.39515151515151514
40,0.5163636363636364
20,0.3694305694305694
2,0.47738095238095235
16,0.5446866858631564
23,0.48701298701298706
42,0.35326007326007325
29,0.2827149321266968
47,0.37884615384615383
17,0.4742657342657342
39,0.27636363636363637
52,0.49067599067599066
15,0.2273060273060273
10,0.4066666666666666
9,0.45072261072261066
38,0.4561038961038961
5,0.4655677655677655
8,0.38598734598734596
53,0.3736796536796537
49,0.40489510489510483
6,0.2883782883782883
37,0.27924963924963925
33,0.2729004329004329
21,0.4297435897435897
34,0.29611721611721614
4,0.34853146853146855
12,0.2948717948717948
24,0.3404462204462204
