ch_num,f1-score
RAH_3-1,0.44610722610722614
RmdAC_8-7,0.5837939837939838
RasOF_3-1,0.44581196581196575
ROF_5-4,0.6276767676767677
RaSTG1_4-3,0.5010989010989011
RasOF_4-3,0.39634365634365637
RaSTG1_5-4,0.562037962037962
RpT_6-5,0.44435564435564434
RasOF_8-7,0.4936507936507937
RaSTG2_5-4,0.41071428571428575
RpT_8-7,0.4333333333333333
ROF_6-5,0.5634032634032634
RpT_4-3,0.47272727272727266
RaSTG2_6-5,0.31956043956043956
RaSTG2_8-7,0.4713553113553114
RpT_5-4,0.5484249084249083
RaSTG2_3-2,0.43956709956709955
RdAC_6-5,0.5245487845487845
RpT_3-2,0.5221245421245422
RP_4-3,0.49428571428571433
RaOF_6-5,0.3047619047619048
ROF_3-2,0.46528138528138524
RaOF_2-1,0.48572398190045246
RaSTG2_4-3,0.41765567765567757
RP_5-4,0.3621245421245421
RasOF_7-6,0.5538461538461539
RAH_5-3,0.39515151515151514
RmdAC_7-6,0.5163636363636364
RaSTG1_6-5,0.3694305694305694
RAH_6-5,0.47738095238095235
ROF_8-7,0.5446866858631564
RdAC_8-6,0.48701298701298706
RpT_2-1,0.35326007326007325
RaSTG2_7-6,0.2827149321266968
RpT_7-6,0.37884615384615383
RaSTG1_3-2,0.4742657342657342
RmdAC_6-5,0.27636363636363637
RP_6-5,0.49067599067599066
ROF_7-6,0.2273060273060273
ROF_2-1,0.4066666666666666
RaOF_8-7,0.45072261072261066
RmdAC_5-4,0.4561038961038961
RaOF_4-3,0.4655677655677655
RaOF_7-6,0.38598734598734596
RP_7-6,0.3736796536796537
RP_3-1,0.40489510489510483
RaOF_5-4,0.2883782883782883
RmdAC_4-3,0.27924963924963925
RasOF_5-4,0.2729004329004329
RaSTG1_7-6,0.4297435897435897
RasOF_6-5,0.29611721611721614
RaOF_3-2,0.34853146853146855
ROF_4-3,0.2948717948717948
RaSTG2_2-1,0.3404462204462204
