ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
20.0,1.0,0.1,1250,4,1.0,0.6,0.7,0.7894695446166035
19.0,0.9,0.05,750,1,0.1,0.9,0.9,0.7849144672531769
5.0,0.8,0.2,1250,3,0.5,1.0,0.7,0.7818633952254641
44.0,0.8,0.2,1250,5,0.25,0.9,0.6,0.7805972391428455
13.0,0.6,0.25,1250,1,0.25,0.9,0.6,0.7801319648093841
0.0,0.6,0.2,100,2,0.05,0.8,0.8,0.7795601173020528
42.0,0.7,0.25,1000,3,0.25,1.0,0.9,0.7765218968255022
43.0,0.9,0.2,1250,4,0.25,0.9,0.9,0.7735421441303794
22.0,1.0,0.3,250,5,0.5,0.7,1.0,0.7717248120807632
28.0,0.7,0.05,100,5,0.05,0.6,0.8,0.7699857685009487
12.0,0.8,0.3,250,4,0.05,0.9,0.7,0.7692320261437909
10.0,0.8,0.25,500,2,0.25,0.6,1.0,0.7690382892969099
46.0,1.0,0.2,1250,5,0.1,0.7,0.9,0.7658684642365857
11.0,0.8,0.3,100,1,0.1,0.7,0.6,0.7653312057961015
29.0,0.8,0.2,100,3,0.1,1.0,0.9,0.7642917511832319
39.0,0.9,0.3,1500,4,0.25,1.0,0.9,0.7638617704134945
36.0,0.6,0.15,500,3,0.1,1.0,0.8,0.7628565706796422
1.0,0.6,0.05,750,5,0.1,1.0,0.6,0.7592185761957732
24.0,0.8,0.3,250,4,0.5,0.8,0.8,0.7579493087557603
23.0,0.6,0.1,1000,2,0.05,0.8,0.9,0.7575499619854458
40.0,1.0,0.1,100,2,0.05,0.7,0.7,0.7573671925034551
25.0,0.6,0.2,100,3,0.1,0.6,0.7,0.7570869990224829
27.0,0.6,0.3,1000,2,0.1,0.6,0.8,0.7550611790878754
47.0,0.8,0.05,1500,5,0.25,1.0,1.0,0.7532938835358192
35.0,0.9,0.15,250,3,0.05,0.6,0.9,0.7532723822666897
33.0,0.7,0.2,250,2,0.05,0.9,0.8,0.7528134625497709
34.0,0.9,0.05,1500,5,0.1,1.0,0.9,0.752769744160178
21.0,1.0,0.3,1500,3,0.1,0.8,0.9,0.7524874319229159
48.0,0.9,0.25,750,4,1.0,0.8,1.0,0.749016764659145
3.0,0.7,0.3,100,4,0.05,1.0,1.0,0.7442874119344708
45.0,0.8,0.15,1000,5,0.5,1.0,0.6,0.7433565914989719
9.0,0.8,0.15,1250,5,0.5,0.6,0.6,0.74289172843776
38.0,0.7,0.05,100,1,0.05,0.8,0.8,0.7402342389411356
7.0,0.8,0.3,100,2,0.05,0.8,0.9,0.7348459383753501
8.0,0.6,0.05,500,3,0.25,0.9,0.9,0.7335564570655849
41.0,0.9,0.2,1000,5,0.25,0.7,0.8,0.7323402909550917
32.0,0.6,0.25,100,4,0.25,0.9,0.6,0.7311764705882353
16.0,0.6,0.05,1500,3,0.5,0.7,0.8,0.7303970223325063
6.0,0.7,0.15,1500,5,0.05,0.9,0.9,0.728907738644047
2.0,0.6,0.05,100,5,0.05,0.9,0.7,0.7272296015180265
49.0,0.9,0.3,100,1,0.05,0.8,0.9,0.7241335009076945
26.0,0.8,0.3,100,2,0.05,0.6,1.0,0.7203312057961015
37.0,0.6,0.3,1250,4,1.0,0.6,1.0,0.7145636889991728
4.0,0.6,0.2,250,2,0.05,1.0,1.0,0.714376322275295
30.0,0.8,0.25,750,3,0.5,1.0,1.0,0.7141263761429959
31.0,0.6,0.15,750,4,0.1,0.9,0.7,0.7102516992460067
17.0,1.0,0.15,100,4,0.1,1.0,0.9,0.7063218390804598
15.0,0.7,0.2,1250,4,0.5,0.7,0.6,0.7060416335610997
18.0,0.9,0.05,1500,2,1.0,0.9,0.9,0.705652709359606
14.0,1.0,0.2,750,4,0.5,0.8,0.9,0.7049261083743843
50.0,1.0,0.15,1500,4,0.5,0.6,1.0,0.6911265884652982
