ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
48.0,8,4,2,0.778441261730701
50.0,2,1,1,0.7614260249554368
22.0,4,2,2,0.7596428571428572
18.0,4,4,11,0.7499559180982984
5.0,4,4,2,0.7440566959921799
11.0,4,1,13,0.7434142637118166
19.0,2,3,10,0.7354220032840724
44.0,2,1,1,0.7345827505827506
12.0,2,3,9,0.7291789819376027
26.0,2,1,1,0.7279772515066634
49.0,10,3,11,0.7260454915103871
9.0,10,1,13,0.7228571428571428
43.0,10,3,15,0.7228146047500885
8.0,2,1,1,0.7163133640552996
6.0,6,3,12,0.7147885567240406
7.0,2,1,1,0.713437826541275
29.0,4,3,12,0.7132847861783393
25.0,2,1,1,0.7092750161715679
30.0,2,1,1,0.708885550636025
13.0,2,3,3,0.7073643597781529
15.0,2,1,1,0.7061222051544632
33.0,10,1,11,0.7041811328767851
46.0,2,1,11,0.7028677248677249
42.0,6,4,2,0.7028550241008528
16.0,6,3,12,0.7023908709425951
41.0,2,3,2,0.7018471183988426
28.0,2,1,1,0.6995388776200135
36.0,8,1,2,0.6971092734175899
10.0,2,1,1,0.695593191122603
14.0,2,1,1,0.6933823529411766
4.0,10,1,13,0.6926474294854621
2.0,8,3,2,0.6914010439627137
39.0,6,1,6,0.6894760312151617
32.0,6,2,12,0.685485347985348
34.0,6,3,4,0.6845478435995678
38.0,8,3,7,0.6807488807488807
20.0,8,1,10,0.680672338414274
21.0,2,1,1,0.6757607702579239
47.0,2,1,1,0.6724116743471583
3.0,4,1,8,0.6719303046889255
37.0,2,1,1,0.6713888888888888
45.0,6,2,4,0.6700500556173526
40.0,2,3,3,0.6699208837139872
1.0,8,1,2,0.669494794333504
31.0,6,1,8,0.6639937125454367
0.0,6,3,6,0.6616299592139414
24.0,10,1,4,0.6559160383965723
17.0,4,3,3,0.6485649727029037
35.0,8,4,11,0.6382592171557688
23.0,8,1,2,0.6296299592139414
27.0,6,4,2,0.6289564717818333
