,ch_names
0,RA_5-4
1,RA_6-5
2,RA_7-6
3,RA_8-7
4,RMC_2-1
5,RMC_3-2
6,RMC_4-3
7,RMC_5-4
8,RMC_6-5
9,RMC_7-6
10,RMC_8-7
11,ROF_-2--1
12,ROF_-3--2
13,ROF_-4--3
14,ROF_-6--4
15,LOF_-1--0
16,LOF_-2--1
17,LOF_-4--2
18,LOF_-5--4
19,LOF_-6--5
20,LOF_-7--6
21,RCAUD_4-3
22,RCAUD_5-4
23,RMH_2-1
24,RMH_3-2
25,RMH_4-3
26,RMH_5-4
27,RMH_6-5
28,RMH_7-6
29,RMH_8-7
30,RAC_2-1
31,RAC_3-2
32,RAC_4-3
33,RAC_5-4
34,RAC_6-5
35,RAC_7-6
36,RAC_8-7
37,LCAUD_2-1
38,LCAUD_3-2
39,LCAUD_4-3
40,LCAUD_5-4
41,LCAUD_6-5
42,LCAUD_7-6
43,LCAUD_8-7
44,RSMA_2-1
45,RSMA_3-2
46,RSMA_4-3
47,RSMA_5-4
48,RSMA_6-5
49,RSMA_7-6
50,RSMA_8-7
