,ch_names
0,LAC_2-1
1,LAC_3-2
2,LAC_4-3
3,LAC_5-4
4,LAC_6-5
5,LAC_7-6
6,LAC_8-7
7,RMH_2-1
8,RMH_3-2
9,RMH_4-3
10,RMH_5-4
11,RMH_6-5
12,RMH_7-6
13,RMH_8-7
14,LA_2-1
15,LA_3-2
16,LA_4-3
17,LA_5-4
18,LA_6-5
19,LA_7-6
20,RAC_3-1
21,RAC_4-3
22,RAC_5-4
23,RAC_6-5
24,RAC_7-6
25,RAC_8-7
26,LMH_2-1
27,LMH_3-2
28,LMH_4-3
29,LMH_5-4
30,LMH_6-5
31,LMH_7-6
32,LMH_8-7
33,RMTG_2-1
34,RMTG_3-2
35,RMTG_4-3
36,RMTG_5-4
37,RMTG_6-5
38,RMTG_7-6
39,RMTG_8-7
40,RTP_2-1
41,RTP_3-2
42,RTP_4-3
43,RTP_5-4
44,RTP_6-5
45,RTP_7-6
46,RTP_8-7
47,RA_3-1
48,RA_5-3
49,RA_6-5
50,RA_7-6
51,RA_8-7
