,ch_names
0,LMI_2-1
1,LMI_3-2
2,LMI_4-3
3,LMI_5-4
4,LMI_6-5
5,LMI_7-6
6,LMI_8-7
7,REC_2-1
8,REC_3-2
9,REC_4-3
10,REC_5-4
11,REC_6-5
12,REC_7-6
13,REC_8-7
14,LSTG_2-1
15,LSTG_3-2
16,LSTG_4-3
17,LSTG_5-4
18,LSTG_6-5
19,LSTG_7-6
20,LSTG_8-7
21,RMH_2-1
22,RMH_3-2
23,RMH_4-3
24,RMH_5-4
25,LPHG_2-1
26,LPHG_3-2
27,LPHG_4-3
28,LPHG_5-4
29,LPHG_6-5
30,LPHG_7-6
31,LPHG_8-7
32,LPI_2-1
33,LPI_3-2
34,LPI_4-3
35,LPI_5-4
36,LPI_6-5
37,LPI_7-6
38,LPI_8-7
39,LSI_2-1
40,LSI_3-2
41,LSI_4-3
42,LSI_5-4
43,LSI_6-5
44,LSI_7-6
45,LSI_8-7
46,LAI_2-1
47,LAI_3-2
48,LAI_4-3
49,LAI_5-4
50,LAI_6-5
51,LAI_7-6
52,LAI_8-7
53,RA_2-1
54,RA_3-2
55,RA_4-3
56,RA_5-4
57,RA_6-5
58,RA_7-6
59,RA_8-7
60,LOF_3-2
61,LOF_4-3
62,LOF_5-4
63,LOF_6-5
64,LOF_7-6
65,LOF_8-7
